x,y,value
108,6,1
110,0,38
110,0,38
111,0,44
111,0,44
112,0,10
112,0,10
112,1,26
112,1,26
113,0,17
113,1,20
113,1,20
113,8,2
113,8,2
114,0,122
114,0,122
114,7,12
114,7,12
114,8,2
114,8,2
115,0,142
115,0,142
115,6,30
115,6,30
115,7,8
115,8,2
115,8,2
116,0,4
116,0,4
116,5,84
116,5,84
116,6,96
116,6,96
116,7,14
116,7,14
116,8,4
116,8,4
117,0,94
117,0,94
117,4,16
117,4,16
117,5,116
117,5,116
117,6,92
117,7,20
117,7,20
118,0,42
118,0,42
118,4,18
118,4,18
118,5,132
118,5,132
118,6,20
118,6,20
118,7,4
118,7,4
118,8,10
118,8,10
118,9,8
118,10,26
118,10,26
119,0,22
119,0,22
119,4,2
119,4,2
119,5,2
119,5,2
119,6,2
119,6,2
119,7,156
119,7,156
119,8,92
119,8,92
119,9,25
119,10,12
119,10,12
120,0,46
120,0,46
120,6,18
120,6,18
120,7,39
120,8,27
120,9,44
120,9,44
120,10,8
120,10,8
121,0,13
121,1,10
121,1,10
121,6,16
121,6,16
121,7,16
121,8,124
121,8,124
121,9,82
121,9,82
122,6,10
122,6,10
122,7,4
122,7,4
122,13,10
122,13,10
122,14,70
122,14,70
123,2,15
123,3,102
123,3,102
123,10,58
123,10,58
123,11,234
123,11,234
123,12,52
123,12,52
123,13,6
123,14,14
123,14,14
124,2,69
124,3,92
124,3,92
124,9,10
124,9,10
124,10,340
124,10,340
124,11,387
124,12,105
124,13,3
124,14,40
124,14,40
125,2,47
125,8,2
125,9,216
125,9,216
125,10,292
125,11,248
125,12,9
125,13,6
125,14,4
125,14,4
126,2,7
126,8,4
126,8,4
126,9,186
126,9,186
126,10,23
126,11,33
126,12,5
127,8,8
127,8,8
127,9,119
127,10,6
127,11,6
127,12,3
127,13,26
127,13,26
