x,y,value
0,0,1
0,1,1
0,2,12
0,7,1
0,9,10
0,10,1
0,12,1
0,15,4
0,17,23
0,18,66
0,19,75
0,20,48
0,21,19
0,23,3
0,24,35
0,25,5
0,27,3
0,35,4
0,36,4
0,37,2
0,39,71
0,40,257
0,41,198
0,42,457
0,43,20
0,44,1
0,45,4
0,47,1
0,56,3
0,57,2
0,58,14
0,59,1
0,60,1
0,61,1
0,63,3
0,64,6
0,69,2
0,71,4
0,72,2
0,73,46
0,74,81
0,75,27
0,76,52
0,77,367
0,78,61
0,79,42
0,80,35
0,81,142
0,82,15
0,83,25
0,84,237
0,85,47
0,86,32
0,87,10
0,88,86
0,88,86
0,89,106
0,89,106
0,90,118
0,90,118
0,91,6
0,92,117
0,93,662
0,94,448
0,95,387
0,96,82
0,97,15
0,98,81
0,99,29
0,100,31
0,101,50
0,102,26
0,102,26
0,103,238
0,103,238
0,104,234
0,105,96
0,105,96
0,106,55
0,107,40
0,107,40
0,108,119
0,109,466
0,110,19
0,111,47
0,112,63
0,113,91
0,114,33
0,115,43
0,116,172
0,116,172
0,117,50
0,117,50
0,118,39
0,119,128
0,119,128
0,120,38
0,121,38
0,122,47
0,123,81
0,124,33
0,125,58
0,126,87
0,127,300
1,0,4
1,1,4
1,3,1
1,8,7
1,12,1
1,13,3
1,14,2
1,15,7
1,17,45
1,18,64
1,19,174
1,20,330
1,21,9
1,22,2
1,23,3
1,25,9
1,29,6
1,35,10
1,36,23
1,37,94
1,38,30
1,39,18
1,40,18
1,41,45
1,42,81
1,43,250
1,44,1
1,49,5
1,54,5
1,56,1
1,57,2
1,59,3
1,60,1
1,61,3
1,62,2
1,64,1
1,66,3
1,71,5
1,72,1
1,73,4
1,74,53
1,75,41
1,76,59
1,77,51
1,78,102
1,79,42
1,80,41
1,81,41
1,82,36
1,83,51
1,84,20
1,85,34
1,86,24
1,87,126
1,87,126
1,88,102
1,88,102
1,89,126
1,89,126
1,90,37
1,91,51
1,92,15
1,93,625
1,94,723
1,95,311
