x,y,value
0,0,41
0,1,44
0,2,8
0,3,40
0,4,2
0,5,42
0,6,29
0,7,100
0,8,367
0,9,2
0,10,4
0,11,17
0,12,64
0,13,4
0,13,4
1,0,105
1,1,24
1,3,50
1,5,48
1,6,46
1,7,4
1,8,172
1,9,119
1,10,108
1,11,66
1,12,2
2,0,154
2,1,34
2,2,6
2,3,60
2,6,35
2,7,163
2,8,1073
2,9,413
2,10,8
2,11,6
2,14,1
2,15,24
2,15,24
3,0,40
3,1,32
3,2,17
3,7,31
3,8,298
3,9,423
3,10,2
4,0,40
4,1,46
4,2,10
4,4,61
4,5,18
4,6,18
4,9,12
4,10,263
4,13,1
5,0,4
5,1,17
5,2,40
5,3,14
5,4,32
5,5,22
5,6,61
5,7,2
5,8,90
5,10,499
5,11,319
5,12,2
6,0,86
6,1,52
6,3,71
6,4,40
6,5,51
6,6,2
6,7,47
6,8,333
6,9,16
6,10,814
6,11,487
6,12,16
7,0,6
7,1,8
7,2,22
7,3,140
7,4,18
7,5,246
7,6,432
7,7,502
7,8,867
7,9,733
7,10,896
7,11,761
7,12,54
7,13,30
7,14,114
8,0,122
8,1,6
8,2,62
8,3,185
8,4,155
8,5,318
8,6,1070
8,7,340
8,8,1282
8,9,1753
8,10,1321
8,11,618
8,12,52
8,13,2
9,0,91
9,1,186
9,2,145
9,3,127
9,4,32
9,5,40
9,6,470
9,7,290
9,8,532
9,9,619
9,10,630
9,11,491
9,13,4
9,14,4
9,17,86
9,18,72
9,18,72
10,1,65
10,2,64
10,4,9
10,5,10
10,6,42
10,7,33
10,8,230
10,9,1242
10,10,1540
10,11,1300
10,12,58
10,13,76
10,14,104
10,15,2
10,16,18
10,17,60
10,18,285
10,19,12
10,19,12
10,20,26
10,20,26
10,21,8
10,21,8
10,22,10
10,22,10
11,0,16
11,1,8
11,2,14
11,4,122
11,5,40
11,6,8
11,7,55
11,8,55
11,9,667
11,10,1070
11,11,900
11,12,199
11,13,110
11,14,8
11,18,40
11,20,8
11,21,44
11,22,28
11,22,28
12,1,88
12,2,6
12,5,40
12,7,17
12,8,271
12,9,327
12,10,159
12,11,360
12,12,297
12,13,2
12,15,14
12,17,19
12,19,20
12,20,134
12,21,10
13,0,50
13,1,107
13,2,14
13,3,2
13,5,90
13,6,33
13,7,136
13,8,174
13,9,34
13,10,38
13,11,124
13,12,210
13,13,222
13,14,237
13,15,306
13,16,8
13,17,100
13,19,310
13,20,56
13,22,2
13,33,736
13,33,736
13,34,20
13,36,46
13,36,46
14,0,68
14,3,32
14,4,18
14,6,239
14,7,66
14,9,20
14,11,2
14,13,2
14,14,24
14,16,17
14,17,11
14,18,80
14,19,14
14,21,2
14,33,872
14,33,872
14,34,148
14,35,236
14,36,114
14,37,10
15,1,8
15,4,26
15,5,49
15,6,112
15,7,14
15,8,3
15,9,101
15,10,229
15,11,57
15,12,16
15,17,55
15,18,70
15,19,6
15,20,20
15,21,20
15,33,22
15,33,22
15,34,16
15,34,16
15,35,50
15,37,215
15,38,41
15,39,80
15,40,22
16,0,5
16,1,26
16,2,8
16,5,45
16,6,340
16,7,177
16,10,61
16,11,149
16,12,240
16,21,90
16,30,128
16,30,128
16,31,8
16,31,8
16,33,20
16,33,20
16,34,588
16,34,588
16,35,168
16,36,2
16,37,8
16,38,45
16,39,2
17,1,34
17,2,8
17,3,2
17,5,77
17,6,249
17,7,166
17,10,18
17,12,4
17,13,14
17,14,250
17,17,2
17,18,2
17,19,10
17,31,2
17,32,24
17,33,140
17,34,283
17,35,20
17,36,41
17,38,2
18,0,14
18,2,24
18,3,25
18,4,75
18,5,161
18,6,6
18,7,420
18,8,74
18,9,32
18,10,1
18,11,1
18,13,280
18,14,2
18,18,4
18,19,12
18,20,6
18,31,74
18,32,437
18,33,216
18,34,107
18,35,81
18,36,226
18,37,199
18,38,28
18,39,30
19,0,103
19,1,124
19,2,4
19,3,22
19,4,78
19,7,12
19,8,160
19,9,258
19,10,281
19,11,21
19,12,39
19,13,240
19,14,170
19,15,169
19,16,172
19,17,205
19,18,6
19,19,40
19,20,33
19,30,6
19,31,433
19,32,316
19,33,8
19,34,250
19,35,82
19,36,62
19,37,112
19,38,16
20,1,4
20,2,132
20,4,16
20,6,2
20,10,70
20,11,344
20,12,91
20,13,26
20,14,171
20,17,42
20,18,2
20,19,4
20,22,2
20,30,4
20,31,256
20,32,14
20,33,29
20,34,457
20,35,354
20,36,2
21,2,60
21,2,60
21,3,6
21,3,6
21,4,114
21,4,114
21,5,2
21,7,146
21,11,72
21,12,95
21,13,72
21,14,138
21,15,4
21,17,42
21,18,12
21,19,35
21,31,74
21,32,2
21,33,68
21,34,111
21,35,58
21,36,59
22,1,108
22,1,108
22,3,76
22,4,340
22,4,340
22,5,2
22,5,2
22,6,270
22,7,61
22,8,12
22,9,2
22,10,28
22,11,22
22,12,32
22,13,27
22,14,52
22,15,44
22,17,2
22,18,126
22,19,121
22,20,4
22,29,2
22,30,12
22,31,2
22,32,6
22,33,97
22,34,2
22,35,20
22,36,20
22,37,2
23,1,91
23,2,43
23,3,439
23,4,764
23,5,440
23,5,440
23,6,206
23,6,206
23,7,99
23,8,4
23,9,62
23,10,76
23,12,2
23,13,680
23,14,529
23,15,141
23,16,6
23,18,11
23,19,10
23,22,8
23,23,2
23,26,2
23,29,4
23,30,87
23,33,18
23,35,26
23,36,141
23,37,28
23,38,36
23,38,36
24,0,118
24,1,30
24,2,127
24,3,182
24,4,9
24,6,2
24,6,2
24,7,4
24,7,4
24,8,16
24,8,16
24,10,2
24,11,46
24,12,125
24,13,1071
24,14,472
24,15,79
24,16,90
24,17,60
24,18,69
24,19,18
24,20,6
24,26,2
24,29,10
24,30,158
24,33,77
24,34,40
24,35,2
24,36,648
24,37,129
24,38,68
24,39,112
24,39,112
24,40,4
24,40,4
25,2,158
25,3,28
25,4,38
25,5,79
25,7,4
25,7,4
25,8,80
25,8,80
25,9,636
25,9,636
25,10,372
25,10,372
25,11,28
25,11,28
25,12,10
25,13,73
25,14,200
25,15,20
25,15,20
25,18,110
25,19,38
25,20,8
25,21,2
25,22,2
25,25,2
25,28,8
25,29,28
25,30,196
25,31,42
25,34,5
25,35,41
25,36,1469
25,37,289
25,38,47
25,39,122
26,2,291
26,4,60
26,5,38
26,6,206
26,7,133
26,8,82
26,9,172
26,10,340
26,10,340
26,12,40
26,12,40
26,13,478
26,13,478
26,14,232
26,14,232
26,15,64
26,15,64
26,16,170
26,17,2
26,18,2
26,19,2
26,20,8
26,21,229
26,23,161
26,24,197
26,25,6
26,26,186
26,27,56
26,28,168
26,29,34
26,30,50
26,31,8
26,34,2
26,35,6
26,36,649
26,37,42
26,38,2
26,39,40
26,39,40
27,1,2
27,2,329
27,5,48
27,6,167
27,8,6
27,9,24
27,10,51
27,11,806
27,11,806
