x,y,value
97,1,2
97,1,2
98,1,12
98,1,12
99,1,22
99,1,22
99,2,2
99,2,2
100,2,34
100,2,34
100,3,2
100,3,2
100,5,12
100,5,12
100,7,17
100,8,42
100,8,42
101,2,2
101,2,2
101,3,98
101,3,98
101,5,52
101,5,52
101,6,10
101,7,120
101,7,120
101,8,6
101,8,6
101,9,2
101,9,2
102,0,22
102,0,22
102,1,2
102,1,2
102,2,22
102,2,22
102,3,28
102,3,28
102,4,4
102,4,4
102,6,142
102,6,142
102,7,98
102,7,98
102,8,16
102,8,16
102,9,2
102,9,2
103,0,50
103,0,50
103,3,2
103,3,2
103,4,4
103,4,4
103,5,14
103,5,14
103,7,20
103,7,20
103,8,2
103,8,2
104,7,258
104,7,258
104,8,12
104,8,12
105,2,26
105,2,26
105,3,54
105,3,54
105,4,82
105,4,82
105,6,8
105,6,8
105,7,112
105,7,112
105,8,176
105,8,176
105,9,8
105,9,8
106,2,104
106,2,104
106,3,11
106,9,2
106,9,2
107,7,6
107,7,6
107,9,46
107,9,46
107,12,16
107,12,16
107,13,4
107,13,4
108,4,1
108,7,50
108,7,50
108,8,16
108,8,16
108,9,30
108,9,30
108,12,1
108,13,82
108,13,82
109,1,3
109,2,1
109,4,1
109,5,2
109,5,2
109,6,34
109,6,34
109,7,12
109,7,12
109,10,92
109,10,92
109,11,42
109,11,42
109,15,3
109,16,8
109,16,8
110,1,186
110,1,186
110,2,8
110,2,8
110,3,10
110,3,10
110,6,3
110,11,6
110,15,25
110,16,6
110,16,6
111,5,4
111,5,4
111,11,1
111,12,40
112,4,14
112,4,14
112,9,14
112,9,14
112,12,106
112,12,106
112,15,26
112,15,26
113,11,6
113,11,6
113,12,192
113,12,192
113,13,102
113,13,102
113,14,24
113,14,24
114,7,12
114,7,12
114,8,42
114,8,42
114,13,30
114,13,30
115,9,82
115,9,82
115,10,70
115,10,70
115,11,96
115,11,96
115,12,30
115,12,30
115,14,38
115,14,38
115,17,18
115,17,18
115,21,4
115,21,4
115,22,10
115,22,10
116,8,7
116,11,24
116,12,3
116,13,78
116,13,78
116,14,92
116,14,92
116,15,106
116,15,106
116,17,34
116,17,34
116,18,118
116,18,118
116,20,8
116,20,8
116,21,26
116,22,16
116,22,16
117,5,266
117,5,266
117,6,360
117,6,360
117,7,109
117,8,26
117,9,7
117,10,1
117,11,678
117,11,678
117,12,277
117,13,178
117,13,178
117,14,132
117,14,132
117,15,44
117,15,44
117,16,46
117,16,46
117,17,16
117,17,16
117,19,28
117,19,28
117,20,21
118,5,46
118,5,46
118,6,796
118,6,796
118,7,268
118,7,268
118,8,43
118,9,194
118,9,194
118,10,182
118,10,182
118,11,590
118,11,590
118,12,84
118,12,84
118,13,152
118,13,152
118,16,16
118,16,16
118,17,62
118,17,62
118,18,18
118,18,18
118,19,2
118,25,6
118,25,6
118,27,130
118,27,130
118,28,24
118,28,24
119,7,26
119,7,26
119,8,62
119,8,62
119,9,44
119,9,44
119,10,2
119,10,2
119,11,10
119,11,10
119,12,20
119,12,20
119,13,180
119,13,180
119,14,114
119,15,4
119,15,4
119,16,86
119,16,86
119,17,16
119,17,16
119,18,24
119,18,24
119,19,52
119,20,1
119,24,2
119,24,2
119,25,82
119,25,82
119,26,1
119,27,8
120,13,616
120,13,616
120,14,497
120,15,128
120,16,26
120,16,26
120,17,44
120,17,44
120,18,84
120,18,84
120,19,6
120,24,68
120,24,68
120,25,48
120,25,48
120,26,50
120,26,50
121,7,52
121,7,52
121,8,6
121,8,6
121,9,20
121,9,20
121,10,72
121,10,72
121,11,16
121,11,16
121,12,96
121,12,96
121,13,60
121,13,60
121,14,950
121,14,950
121,15,307
121,16,158
121,17,65
121,18,40
121,19,12
121,21,4
121,24,38
121,24,38
121,25,116
121,25,116
121,26,90
121,26,90
121,31,2
121,32,56
121,32,56
122,7,84
122,7,84
122,8,34
122,8,34
122,9,60
122,9,60
122,10,118
122,10,118
122,11,108
122,11,108
122,12,40
122,12,40
122,13,140
122,13,140
122,14,322
122,14,322
122,15,61
122,16,5
122,17,3
122,19,72
122,20,43
122,21,40
122,22,22
122,24,18
122,24,18
122,25,138
122,25,138
122,26,3
122,30,1
122,32,286
122,32,286
123,10,5
123,14,8
123,15,32
123,16,4
123,20,35
123,21,54
123,22,21
123,23,10
123,24,6
123,25,60
123,26,48
123,30,3
123,31,8
123,31,8
123,32,22
123,32,22
124,10,130
124,10,130
124,11,94
124,11,94
124,15,3
124,16,7
124,21,11
124,22,49
124,23,18
124,24,19
124,26,1
124,28,20
124,29,88
124,29,88
124,30,78
124,30,78
125,9,114
125,9,114
125,10,122
125,10,122
125,11,92
125,11,92
125,13,4
125,15,13
125,16,31
125,20,1
125,21,26
125,22,20
125,23,52
125,24,82
125,25,121
125,28,54
125,28,54
125,29,2
125,29,2
125,30,32
125,30,32
125,31,2
125,31,2
126,9,2
126,9,2
126,11,6
126,11,6
126,12,28
126,12,28
126,13,14
126,13,14
126,14,82
126,14,82
126,15,190
126,15,190
126,16,48
126,23,4
126,24,20
126,25,19
126,26,75
126,27,114
126,27,114
126,28,4
126,28,4
126,29,2
126,29,2
126,30,20
126,30,20
127,11,14
127,11,14
127,12,66
127,12,66
127,13,20
127,13,20
127,14,62
127,14,62
127,15,26
127,16,118
127,16,118
127,17,3
127,22,15
127,24,1
127,25,60
127,25,60
127,27,156
127,27,156
127,28,78
127,28,78
127,30,40
127,30,40
127,34,10
127,34,10
