x,y,value
0,2,3
0,5,2
0,6,3
0,7,10
0,8,20
0,9,126
0,10,17
0,11,2
0,17,2
0,21,8
0,22,14
0,29,3
0,31,3
0,94,1
0,101,38
0,102,184
0,103,69
0,104,19
0,107,4
0,108,11
0,109,147
0,110,331
0,111,7
0,112,6
0,117,3
0,120,2
0,121,5
0,122,2
0,123,19
0,124,55
0,125,31
0,126,1
0,127,1
1,3,1
1,4,1
1,5,1
1,8,4
1,9,7
1,10,44
1,11,7
1,21,7
1,22,21
1,23,37
1,89,112
1,89,112
1,91,22
1,91,22
1,92,6
1,94,3
1,99,3
1,100,1
1,101,14
1,102,204
1,103,84
1,104,23
1,106,6
1,108,10
1,109,147
1,110,47
1,111,3
1,119,3
1,120,1
1,122,1
1,123,18
1,124,31
1,125,101
1,126,156
1,127,9
2,8,7
2,9,26
2,10,99
2,11,32
2,23,3
2,24,8
2,30,6
2,89,42
2,89,42
2,91,2
2,92,6
2,93,3
2,99,2
2,100,2
2,101,15
2,102,218
2,103,163
2,104,14
2,106,1
2,107,3
2,108,109
2,109,40
2,110,4
2,119,16
2,119,16
2,120,21
2,125,2
2,126,156
2,127,29
3,0,3
3,8,1
3,9,2
3,10,217
3,11,43
3,12,3
3,13,4
3,23,16
3,24,7
3,30,5
3,89,3
3,97,1
3,101,6
3,102,216
3,103,71
3,104,4
3,106,6
3,107,10
3,108,348
3,109,116
3,110,3
3,119,22
3,119,22
3,120,36
3,120,36
3,126,44
3,127,13
4,8,4
4,10,89
4,11,157
4,12,26
4,13,2
4,26,1
4,30,2
4,81,22
4,81,22
4,88,16
4,88,16
4,89,16
4,95,1
4,100,1
4,101,1
4,102,63
4,103,249
4,104,28
4,105,1
4,107,88
4,108,400
4,109,104
4,110,25
4,116,1
4,117,2
4,119,2
4,120,8
4,120,8
4,123,1
4,126,49
4,127,55
5,1,29
5,2,3
5,3,1
5,4,4
5,5,3
5,7,2
5,8,10
5,9,51
5,10,341
5,11,66
5,12,2
5,13,2
5,24,1
5,26,4
5,28,8
5,29,7
5,78,16
5,78,16
5,79,1
5,81,3
5,82,132
5,82,132
5,87,2
5,87,2
5,88,5
5,89,2
5,92,2
5,96,2
5,100,1
5,101,9
5,102,19
5,103,78
5,104,103
5,105,96
5,106,12
5,107,24
5,108,90
5,109,91
5,110,12
5,116,6
5,123,1
5,126,1
5,127,97
6,2,1
6,3,3
6,6,1
6,8,8
6,9,10
6,10,25
6,11,191
6,12,12
6,13,1
6,17,2
6,21,4
6,21,4
6,25,2
6,27,11
6,28,54
6,29,76
6,30,2
6,77,22
6,77,22
6,78,64
6,78,64
6,79,6
6,80,10
6,81,17
6,82,103
6,83,18
6,84,12
6,84,12
6,86,32
6,86,32
6,87,22
6,87,22
6,88,1
6,89,4
6,90,27
6,95,7
6,96,4
6,98,1
6,101,7
6,102,5
6,104,20
6,105,65
6,106,35
6,107,33
6,108,50
6,109,109
6,110,18
6,112,2
6,126,2
7,3,2
7,8,1
7,9,12
7,10,4
7,11,286
7,12,15
7,13,1
7,16,21
7,17,4
7,23,4
7,24,1
7,25,1
7,27,1
7,28,108
7,29,11
7,77,100
7,77,100
7,78,53
7,79,5
7,80,60
7,81,244
7,82,516
7,83,30
7,84,18
7,85,9
7,87,5
7,88,43
7,89,18
7,90,26
7,101,2
7,103,1
7,105,16
7,106,13
7,107,167
7,108,199
7,109,391
7,110,31
7,112,1
7,118,2
7,119,1
7,124,1
7,126,1
8,2,3
8,10,28
8,11,448
8,12,417
8,13,99
8,14,7
8,15,18
8,16,10
8,28,13
8,29,3
8,77,18
8,77,18
8,78,44
8,79,39
8,80,27
8,81,42
8,82,8
8,84,4
8,85,16
8,86,1
8,87,1
8,88,7
8,89,68
8,90,10
8,92,39
8,93,5
8,96,2
8,97,4
8,101,2
8,107,65
8,108,204
8,109,290
8,110,309
8,111,2
8,115,2
8,123,1
8,124,7
8,125,2
8,126,1
9,3,2
9,9,1
9,10,6
9,11,63
9,12,5
9,13,22
9,14,51
9,15,172
9,26,1
9,29,7
9,77,14
9,77,14
9,78,24
9,79,10
9,80,7
9,81,12
9,83,1
9,86,1
9,89,12
9,90,389
9,91,44
9,92,11
9,94,1
9,96,1
9,97,8
9,98,1
9,106,3
9,107,2
9,108,27
9,109,234
9,110,107
9,116,1
9,117,4
9,122,1
9,123,21
9,124,50
10,10,37
10,11,24
10,15,29
10,16,3
10,22,4
10,22,4
10,29,1
10,77,6
10,77,6
10,78,11
10,79,4
10,80,15
10,81,1
10,90,638
10,91,41
10,94,2
10,96,3
10,97,2
10,98,6
10,99,3
10,107,1
10,108,99
10,109,227
10,110,335
10,114,3
10,120,2
10,120,2
10,126,2
10,126,2
11,11,29
11,15,3
11,16,52
11,29,5
11,30,1
11,79,2
11,80,27
11,87,1
11,89,22
11,90,21
11,91,54
11,92,99
11,94,1
11,96,4
11,97,1
11,98,37
11,102,3
11,107,4
11,108,67
11,109,381
11,110,431
11,111,23
11,112,1
11,118,1
11,126,2
11,126,2
12,1,6
12,1,6
12,11,27
12,12,3
12,13,2
12,13,2
12,14,4
12,14,4
12,16,1
12,29,5
12,30,2
12,80,5
12,81,3
12,85,1
12,87,4
12,89,51
12,92,54
12,93,28
12,94,2
12,95,1
12,97,7
12,98,27
12,99,2
12,101,4
12,102,3
12,104,6
12,105,1
12,108,62
12,109,564
12,110,569
12,111,142
12,112,30
12,118,1
13,5,4
13,7,2
13,7,2
13,8,4
13,8,4
13,9,4
13,9,4
13,11,88
13,11,88
13,12,14
13,12,14
13,13,2
13,13,2
13,14,5
13,15,4
13,15,4
13,20,1
13,29,2
13,78,1
13,83,1
13,85,1
13,87,45
13,89,41
13,90,9
13,91,5
13,93,37
13,94,59
13,95,1
13,97,8
13,98,18
13,99,25
13,100,8
13,101,1
13,102,5
13,103,6
13,104,4
13,105,1
13,106,34
13,107,74
13,108,173
13,109,23
13,110,110
13,111,775
13,112,435
13,113,4
13,117,1
13,119,1
13,121,4
13,123,1
13,124,1
13,125,4
13,125,4
13,127,8
14,4,1
14,7,1
14,11,42
14,11,42
14,12,52
14,20,2
14,81,1
14,84,3
14,85,7
14,86,42
14,87,18
14,88,1
14,89,42
14,90,108
14,91,46
14,92,2
14,94,17
14,95,63
14,96,7
14,97,23
14,98,201
14,99,28
14,100,30
14,101,10
14,102,6
14,103,7
14,105,2
14,106,87
14,107,181
14,108,159
14,109,20
14,110,61
14,111,86
14,112,119
14,113,28
14,115,5
14,125,80
14,125,80
14,126,9
14,127,2
15,5,7
15,9,1
15,12,4
15,84,1
15,85,27
15,86,2
15,87,1
15,90,6
15,91,73
15,92,26
15,93,4
15,94,1
15,95,119
15,96,212
15,97,22
15,98,303
15,99,62
15,100,196
15,101,17
15,103,1
15,104,1
15,105,1
15,106,74
15,107,163
15,108,124
15,109,19
15,110,16
15,111,50
15,112,73
15,113,74
15,114,7
15,115,1
15,125,19
15,126,2
16,12,11
16,13,1
16,15,2
16,20,9
16,21,7
16,30,4
16,30,4
16,38,1
16,43,1
16,84,26
16,85,2
16,92,8
16,93,5
16,94,24
16,95,41
16,96,23
16,97,54
16,98,32
16,99,93
16,100,309
16,101,62
16,102,10
16,106,40
16,107,382
16,108,84
16,109,9
16,110,8
16,111,13
16,112,30
16,113,59
16,114,27
16,115,4
16,116,1
16,118,1
16,120,1
16,123,1
16,125,11
17,2,2
17,3,6
17,4,2
17,5,2
17,6,1
17,12,2
17,13,2
17,14,1
17,21,1
17,25,3
17,27,4
17,27,4
17,38,1
17,82,1
17,83,5
17,91,1
17,93,1
17,94,4
17,95,1
17,97,23
17,98,56
17,99,55
17,100,97
17,101,123
17,102,56
17,103,6
17,104,1
17,106,93
17,107,293
17,108,50
17,109,45
17,111,1
17,112,2
17,113,77
17,114,16
17,115,325
17,116,1
17,120,4
18,2,2
18,3,2
18,12,3
18,14,4
18,21,1
18,22,3
18,24,4
18,90,3
18,93,3
18,94,1
18,96,3
18,97,1
18,98,11
18,99,151
18,100,354
18,101,32
18,102,339
18,103,33
18,104,57
18,105,16
18,106,45
18,107,69
18,108,26
18,109,7
18,112,3
18,113,30
