x,y,value
63,0,2
63,0,2
64,0,392
64,0,392
64,1,18
64,1,18
65,0,277
65,1,482
65,1,482
65,2,62
65,2,62
66,0,349
66,1,156
66,2,154
66,2,154
66,3,32
66,3,32
67,0,31
67,1,38
67,2,85
67,3,448
67,3,448
67,4,836
67,4,836
67,5,8
67,5,8
68,0,68
68,1,23
68,2,55
68,3,45
68,4,85
68,5,128
68,5,128
69,0,21
69,1,187
69,2,48
69,3,39
69,4,384
69,4,384
69,5,74
69,5,74
70,0,68
70,1,23
70,2,23
70,3,60
70,4,768
70,4,768
70,5,98
70,5,98
71,0,132
71,1,262
71,2,121
71,3,275
71,4,426
71,4,426
72,0,22
72,1,250
72,2,321
72,3,203
72,4,182
72,5,120
72,5,120
73,0,58
73,1,89
73,2,392
73,3,51
73,4,25
73,5,550
73,5,550
74,0,155
74,1,58
74,2,86
74,3,22
74,4,30
74,5,76
74,6,154
74,6,154
75,0,32
75,1,150
75,2,94
75,3,21
75,4,9
75,5,36
75,6,98
75,7,290
75,7,290
76,0,39
76,1,73
76,2,14
76,3,7
76,4,20
76,5,10
76,6,157
76,7,410
76,7,410
76,8,328
76,8,328
77,0,8
77,1,20
77,2,62
77,3,7
77,4,28
77,5,2
77,6,275
77,7,39
77,8,5
77,9,12
77,9,12
77,10,8
77,10,8
78,0,7
78,1,13
78,2,6
78,3,2
78,4,98
78,5,252
78,6,282
78,7,73
78,8,4
78,9,40
78,9,40
79,0,1
79,1,8
79,2,8
79,3,1
79,4,8
79,5,9
79,6,91
79,7,9
79,8,3
79,9,34
79,9,34
80,0,56
80,1,18
80,2,22
80,3,4
80,4,2
80,6,114
80,7,11
80,8,1
80,9,182
80,9,182
81,0,149
81,1,151
81,2,8
81,3,2
81,4,5
81,5,2
81,6,49
81,7,3
81,9,32
81,10,34
81,10,34
81,14,4
81,14,4
81,15,2
81,15,2
81,16,46
81,16,46
81,17,298
81,17,298
81,18,166
81,18,166
82,0,92
82,1,6
82,2,7
82,3,3
82,4,4
82,5,2
82,6,15
82,7,1
82,8,24
82,9,270
82,10,52
82,11,34
82,12,234
82,12,234
82,13,96
82,13,96
82,14,64
82,14,64
82,15,117
82,16,333
82,17,652
82,17,652
82,18,30
82,18,30
83,0,5
83,1,3
83,2,1
83,3,2
83,4,3
83,5,1
83,6,3
83,7,2
83,8,150
83,9,46
83,11,2
83,12,45
83,13,31
83,14,2
83,15,12
83,16,48
83,17,210
83,17,210
84,0,14
84,1,5
84,2,3
84,3,4
84,4,1
84,6,2
84,7,10
84,8,9
84,10,1
84,11,1
84,12,3
