x,y,value
0,8,1
0,10,1
0,11,1
0,14,5
0,21,7
0,58,2
0,64,5
0,68,19
0,69,78
0,70,23
0,72,4
0,73,4
0,74,2
0,75,3
0,98,1
0,99,15
0,101,1
0,109,103
0,110,2
0,111,1
0,119,7
0,120,12
0,121,5
0,125,1
1,1,2
1,19,5
1,20,2
1,21,1
1,22,11
1,23,8
1,65,7
1,67,6
1,69,19
1,70,10
1,71,1
1,75,1
1,76,2
1,104,1
1,108,1
1,109,1
1,122,1
2,0,1
2,1,3
2,2,2
2,27,21
2,34,7
2,66,1
2,69,9
2,70,53
2,77,6
2,78,8
2,79,2
2,85,1
2,99,6
2,100,2
2,101,7
2,109,6
3,11,1
3,14,2
3,25,1
3,27,26
3,28,4
3,34,1
3,35,18
3,36,1
3,43,1
3,60,2
3,80,4
3,81,1
3,101,2
3,102,1
3,109,6
3,121,1
3,125,2
4,2,1
4,25,4
4,29,3
4,34,9
4,35,1
4,39,1
4,85,1
4,101,1
4,104,2
4,108,5
5,1,2
5,2,1
5,7,1
5,8,1
5,12,1
5,14,1
5,23,3
5,24,15
5,25,10
5,40,1
5,80,1
5,108,20
5,109,4
5,124,2
5,125,7
6,1,2
6,3,3
6,6,2
6,14,2
6,27,2
6,36,2
6,37,3
6,41,3
6,42,2
6,54,2
6,84,22
6,85,10
6,86,18
6,87,18
6,108,30
6,122,1
6,123,1
6,124,37
6,125,3
7,1,2
7,6,3
7,7,1
7,8,1
7,13,4
7,21,3
7,30,1
7,36,1
7,37,4
7,40,3
7,42,4
7,49,1
7,84,31
7,85,54
7,86,5
7,87,18
7,88,36
7,89,3
7,91,1
7,107,3
7,108,13
7,109,7
7,115,1
7,123,2
8,0,1
8,12,19
8,13,21
8,14,4
8,20,9
8,21,4
8,37,8
8,38,92
8,39,1
8,43,4
8,51,4
8,53,6
8,55,1
8,84,5
8,85,29
8,86,7
8,89,34
8,90,14
8,102,4
8,103,1
8,108,4
9,4,1
9,6,1
9,12,10
9,13,4
9,14,1
9,37,1
9,39,1
9,43,8
9,46,2
9,47,32
9,48,3
9,52,5
9,53,2
9,55,3
9,88,4
9,89,4
9,90,6
9,91,21
9,92,24
9,95,1
9,97,2
9,103,7
9,108,11
9,115,1
9,126,3
10,0,12
10,10,3
10,25,3
10,34,2
10,35,4
10,36,11
10,37,21
10,38,231
10,39,7
10,41,8
10,43,2
10,49,2
10,50,4
10,52,1
10,83,2
10,89,1
10,90,18
10,92,15
10,93,31
10,94,7
10,97,2
10,99,1
10,102,22
10,103,4
10,104,2
10,108,3
10,109,2
10,115,15
10,116,19
10,117,1
10,127,1
11,2,1
11,11,9
11,12,2
11,14,1
11,35,1
11,38,4
11,39,2
