x,y,value
57,126,14
57,126,14
57,127,470
57,127,470
58,125,94
58,125,94
58,126,626
58,126,626
58,127,493
59,123,14
59,123,14
59,124,366
59,124,366
59,125,1340
59,125,1340
59,126,786
59,127,365
60,122,296
60,122,296
60,123,858
60,123,858
60,124,402
60,125,461
60,126,540
60,127,567
61,121,16
61,121,16
61,122,910
61,122,910
61,123,377
61,124,342
61,125,169
61,126,524
61,127,270
62,121,2
62,121,2
62,122,138
62,122,138
62,123,646
62,123,646
62,124,477
62,125,496
62,126,338
62,127,147
63,122,2
63,122,2
63,123,832
63,123,832
63,124,618
63,125,424
63,126,162
63,127,105
64,122,2
64,122,2
64,123,770
64,123,770
64,124,290
64,125,401
64,126,118
64,127,132
65,123,1138
65,123,1138
65,124,378
65,125,305
65,126,144
65,127,108
66,122,22
66,122,22
66,123,528
66,123,528
66,124,402
66,125,273
66,126,274
66,127,194
67,122,16
67,122,16
67,123,11
67,124,211
67,125,142
67,126,397
67,127,199
68,123,15
68,124,54
68,125,13
68,126,210
68,127,74
69,121,2
69,121,2
69,123,75
69,125,27
69,126,52
69,126,52
69,127,28
69,127,28
70,120,4
70,120,4
70,121,1
70,122,52
70,122,52
70,123,242
70,123,242
70,124,57
70,125,34
70,126,58
70,126,58
70,127,18
71,119,2
71,119,2
71,121,1
71,122,52
71,122,52
71,123,30
71,123,30
71,124,72
71,124,72
71,125,6
71,125,6
71,126,28
71,126,28
71,127,11
72,121,32
72,121,32
72,122,36
72,122,36
72,123,14
72,124,15
72,125,24
72,126,27
72,127,6
73,118,8
73,118,8
73,120,12
73,120,12
73,121,28
73,121,28
73,122,29
73,123,19
73,124,41
73,125,30
73,126,46
73,127,34
74,119,207
74,119,207
74,119,207
74,120,352
74,120,352
74,121,71
74,122,66
74,123,84
74,124,62
74,125,20
74,126,54
74,127,16
75,119,72
75,119,72
75,120,231
75,121,168
75,122,153
75,123,51
75,124,57
75,125,48
75,126,114
75,127,146
76,119,258
76,119,258
76,120,52
76,121,59
76,122,59
76,123,58
76,124,118
76,125,45
76,126,47
76,127,71
77,119,182
77,119,182
77,120,147
77,121,84
77,122,51
77,123,27
77,124,97
77,125,38
77,126,60
77,127,28
78,119,332
78,119,332
78,120,103
78,121,128
78,122,43
78,123,37
78,124,108
78,125,112
78,126,24
78,127,13
79,119,450
79,119,450
79,120,124
79,121,28
79,122,20
79,123,74
79,124,283
79,125,21
79,126,20
79,127,49
80,118,16
80,118,16
80,119,426
80,119,426
80,120,89
80,121,113
80,122,73
80,123,120
80,124,65
80,125,121
80,126,72
80,127,70
81,118,122
81,118,122
81,119,120
81,120,132
81,121,27
81,122,106
81,123,136
81,124,102
81,125,138
81,126,111
81,127,125
82,65,2
82,65,2
82,66,40
82,66,40
82,67,10
82,67,10
82,118,8
82,118,8
82,119,85
82,120,44
82,121,39
82,122,231
82,123,131
82,124,213
82,125,122
82,126,131
82,127,52
83,65,2
83,65,2
83,119,32
83,120,31
83,121,108
83,122,167
83,123,426
83,124,265
83,125,351
83,126,175
83,127,111
84,117,2
84,117,2
84,118,1
84,119,1
84,120,15
84,121,96
84,122,122
84,123,183
84,124,569
84,125,283
84,126,449
84,127,144
85,116,24
85,116,24
85,117,22
85,118,18
85,119,41
85,120,31
85,121,96
85,122,169
85,123,108
85,124,294
85,125,290
85,126,246
85,127,88
86,116,14
86,116,14
86,117,6
86,118,54
86,119,40
86,120,59
86,121,88
86,122,178
86,123,137
86,124,285
86,125,120
86,126,147
86,127,57
87,116,27
87,117,88
87,118,39
87,119,30
87,120,60
87,121,97
87,122,103
87,123,82
87,124,44
87,125,82
87,126,56
87,127,42
88,114,10
88,114,10
88,115,62
88,116,73
88,117,119
88,118,25
88,119,43
88,120,52
88,121,88
88,122,17
88,123,76
88,124,52
88,125,53
88,126,31
88,127,40
89,114,10
89,115,27
89,116,71
89,117,61
89,118,102
89,119,56
89,120,78
89,121,47
89,122,246
89,123,40
89,124,36
89,125,39
89,126,63
89,127,29
90,60,8
90,60,8
90,61,18
90,61,18
90,62,40
90,62,40
90,63,32
90,63,32
90,64,42
90,64,42
90,112,8
90,112,8
90,113,28
90,114,171
90,115,61
90,116,51
90,117,24
90,118,48
90,119,101
90,120,36
90,121,67
90,122,141
90,123,86
90,124,53
90,125,78
90,126,39
90,127,47
91,60,10
91,60,10
91,61,244
91,61,244
91,62,772
91,62,772
91,63,122
91,63,122
91,64,308
91,64,308
91,65,142
91,65,142
91,66,2
