x,y,value
0,4,12
0,5,360
0,6,230
0,9,133
0,10,236
0,11,6
0,13,38
0,14,28
0,16,40
0,18,208
0,19,331
0,20,181
0,21,45
0,23,1
0,24,14
0,25,31
0,26,3
0,27,5
0,28,5
0,30,9
0,31,11
0,32,10
0,33,3
0,34,1
0,35,3
0,36,10
0,37,1
0,41,1
0,42,2
0,43,15
0,44,3
0,46,2
0,47,1
0,48,27
0,49,1
0,50,12
0,51,2
0,52,23
0,53,3
0,54,7
0,55,11
0,56,11
0,59,1
0,60,17
0,64,1
0,70,8
0,71,8
0,72,7
0,73,18
0,74,43
0,75,5
0,76,5
0,77,1
0,79,10
0,80,1
0,81,6
0,82,5
0,83,11
0,84,1
0,85,6
0,87,6
0,88,6
0,89,2
0,90,3
0,91,3
0,93,17
0,94,67
0,95,76
0,96,29
0,97,43
0,98,31
0,99,13
0,100,42
0,101,50
0,102,84
0,103,898
0,104,311
0,105,3
0,106,5
0,107,52
0,108,18
0,109,74
0,110,66
0,111,15
0,112,13
0,113,234
0,114,93
0,115,8
0,116,4
0,117,3
0,118,1
0,119,3
0,120,112
0,121,2
0,123,72
0,124,92
0,124,92
0,125,4
0,125,4
1,0,11
1,4,67
1,5,299
1,6,82
1,7,1
1,8,33
1,9,70
1,10,74
1,11,113
1,12,17
1,13,1
1,14,2
1,15,58
1,16,140
1,17,348
1,18,23
1,19,58
1,21,33
1,22,11
1,24,27
1,25,187
1,26,212
1,30,27
1,31,177
1,32,17
1,33,1
1,34,1
1,38,65
1,39,245
1,40,18
1,41,4
1,46,1
1,48,29
1,50,6
1,51,8
1,52,9
1,60,21
1,62,4
1,63,1
1,64,1
1,65,3
1,67,1
1,68,1
1,70,12
1,71,77
1,72,12
1,73,13
1,74,16
1,75,37
1,76,1
1,82,1
1,83,2
1,85,22
1,87,5
1,88,9
1,89,9
1,91,1
1,92,459
1,94,36
1,95,7
1,96,9
1,97,8
1,98,24
1,99,30
1,100,72
1,101,18
1,102,34
1,103,29
1,104,83
1,105,49
1,106,4
1,107,302
1,108,115
1,109,15
1,110,17
1,111,23
1,112,261
1,113,186
1,114,6
1,115,4
1,116,106
1,117,8
1,118,7
1,119,25
1,120,14
1,122,5
1,123,6
1,124,355
1,125,9
2,4,11
2,5,9
2,7,1
2,8,7
2,9,512
2,10,139
2,11,12
2,12,321
2,13,322
2,14,76
2,15,124
2,16,200
2,17,83
2,18,7
2,19,255
2,22,88
2,23,10
2,24,27
2,25,8
2,26,155
2,27,2
2,30,2
2,31,8
2,34,3
2,35,2
2,37,15
2,38,19
2,39,12
2,45,4
2,46,2
2,48,23
2,49,62
2,50,36
2,51,2
2,52,1
2,55,8
2,56,16
2,57,4
2,58,6
2,59,1
2,60,7
2,61,27
2,62,6
2,67,1
2,68,1
2,69,1
2,70,4
2,71,21
2,72,15
2,73,5
2,74,2
2,76,1
2,83,1
2,85,6
2,88,1
2,89,3
2,90,11
2,91,13
2,92,72
2,93,9
2,96,20
2,97,12
2,98,34
2,100,55
2,101,18
2,102,4
2,103,2
2,104,23
2,105,16
2,106,21
2,107,416
2,108,447
2,109,57
2,110,81
2,111,285
2,112,184
2,113,28
2,114,31
2,115,24
2,116,666
2,117,3
2,118,26
2,120,16
2,120,16
2,121,8
2,121,8
2,122,18
2,122,18
2,123,1
2,124,497
2,125,174
2,126,6
2,126,6
2,127,4
2,127,4
3,11,295
3,12,860
3,13,643
3,14,247
3,16,49
3,17,6
3,18,23
3,19,123
3,21,2
3,22,6
3,23,9
3,25,1
3,27,5
3,28,1
3,31,12
3,32,2
3,33,9
3,34,1
3,36,2
3,39,7
3,46,1
3,48,1
3,49,12
3,50,48
3,51,1
3,55,13
3,56,20
3,57,11
3,58,19
3,63,1
3,64,2
3,67,13
3,68,20
3,69,2
3,70,2
3,71,1
3,82,2
3,83,33
3,84,11
3,85,2
3,89,9
3,90,15
3,91,153
3,92,2
3,96,14
3,97,107
3,98,51
3,99,3
3,100,18
3,101,4
3,102,13
3,103,32
3,104,13
3,105,25
3,106,7
3,107,62
3,108,256
3,109,136
3,110,344
3,111,895
3,112,327
3,113,137
3,114,102
3,115,230
3,116,203
3,117,27
3,118,1
3,119,8
3,119,8
3,122,8
3,122,8
3,124,2330
3,124,2330
3,125,1264
3,125,1264
3,126,312
3,126,312
3,127,192
3,127,192
4,0,1
4,1,31
4,2,43
4,3,10
4,6,2
4,7,2
4,8,2
4,9,1
4,10,2
4,11,48
4,12,583
4,13,541
4,14,151
4,15,26
4,16,90
4,17,2
4,18,2
4,22,6
4,23,70
4,24,1
4,27,100
4,31,32
4,36,5
4,46,3
4,48,2
4,49,3
4,51,1
4,52,2
4,53,10
4,56,13
4,57,4
4,58,1
4,62,1
4,63,15
4,64,10
4,66,18
4,67,67
4,68,22
4,69,16
4,71,1
4,76,1
4,77,1
4,80,1
4,88,2
4,89,16
4,90,12
4,92,14
4,94,13
4,95,10
4,96,35
4,97,78
4,98,42
4,99,5
4,100,1
4,101,147
4,102,109
4,103,7
4,104,45
4,105,115
4,106,15
4,107,13
4,108,17
4,109,45
4,110,26
4,111,190
4,112,125
4,113,56
4,114,24
4,115,11
4,116,20
4,117,6
4,118,18
4,118,18
4,119,2
4,119,2
4,123,6
4,123,6
4,124,36
4,124,36
5,1,6
5,7,2
5,8,1
5,10,15
5,11,1
5,12,42
5,13,94
5,14,223
5,16,6
5,17,7
5,18,1
5,22,5
5,23,233
5,24,294
5,27,48
5,28,488
5,29,53
5,31,16
5,39,2
5,40,3
5,47,2
5,49,10
5,51,2
5,55,19
5,56,16
5,59,13
5,60,33
5,61,15
5,62,20
5,63,11
5,64,25
5,66,12
5,67,365
5,68,54
5,69,40
5,70,2
5,71,12
5,72,7
5,81,5
5,82,2
5,83,3
5,87,8
5,88,5
5,91,1
5,92,6
5,93,39
5,94,2
5,96,10
5,97,27
5,98,66
5,99,8
5,100,122
5,101,40
5,102,209
5,103,15
5,104,169
5,105,140
5,106,5
5,107,13
5,108,2
5,109,10
5,110,12
5,111,9
5,112,3
5,113,73
5,114,33
5,115,8
5,117,10
5,117,10
5,118,14
5,118,14
5,123,2
5,123,2
6,2,2
6,3,11
6,4,7
6,5,16
6,6,3
6,7,4
6,8,1
6,9,52
6,10,7
6,11,1
6,14,3
6,22,44
6,23,22
6,24,480
6,25,64
6,27,309
6,28,1186
6,29,210
6,35,3
6,39,2
6,40,2
6,44,5
6,47,1
6,49,1
6,50,3
6,56,3
6,58,22
6,59,8
6,60,1
6,61,13
6,62,2
6,63,3
6,64,18
6,65,13
6,67,19
6,68,9
6,69,15
6,70,56
6,71,37
6,72,25
6,75,8
6,77,1
6,78,12
6,79,1
6,80,1
6,81,1
6,85,9
6,86,1
6,91,1
6,92,1
6,93,21
6,94,61
6,95,80
6,96,96
6,97,65
6,98,95
6,99,79
6,100,126
6,101,190
6,102,78
6,103,408
6,104,325
6,105,38
6,106,5
6,107,3
6,108,149
6,109,4
6,110,4
6,111,12
6,112,11
6,113,11
6,114,5
6,115,21
6,116,42
6,116,42
6,117,4
6,117,4
7,3,29
7,4,3
7,5,62
7,7,91
7,8,2
7,9,29
7,10,146
7,23,5
7,24,222
7,25,113
7,26,201
7,28,369
7,29,349
7,34,1
7,35,1
7,36,24
7,37,3
7,38,6
7,39,51
7,58,243
7,59,343
7,60,1
7,61,55
7,62,3
7,63,26
7,64,6
7,67,26
7,68,1
7,70,21
7,71,14
7,72,26
7,73,7
7,77,2
7,80,2
7,81,1
7,84,14
7,85,16
7,91,13
7,92,22
7,93,21
7,94,35
7,95,175
7,96,121
7,97,220
7,98,193
7,99,276
7,100,10
7,101,71
7,102,2
7,103,418
7,104,2
7,105,4
7,106,4
7,107,19
7,108,69
7,109,47
7,110,174
7,111,4
7,114,6
7,114,6
7,115,16
7,115,16
8,1,6
8,2,2
8,3,10
8,4,240
8,5,968
8,6,599
8,7,707
8,8,175
8,9,19
8,10,26
8,17,3
8,22,174
8,23,17
8,24,9
8,26,1
8,29,4
8,32,4
8,35,1
8,39,17
8,40,21
8,41,9
8,49,3
8,57,16
8,58,1019
8,59,273
8,60,7
8,61,16
8,62,3
8,63,10
8,65,1
8,67,29
8,68,8
8,70,1
8,72,1
8,82,3
8,84,1
8,86,22
8,88,1
8,90,6
8,91,25
8,92,32
8,93,136
8,94,178
8,95,107
8,96,249
8,97,323
8,98,413
8,99,241
8,100,2
8,101,5
8,102,4
8,103,7
8,104,32
8,105,9
8,106,2
8,107,215
8,108,42
8,109,221
8,110,32
8,111,6
8,112,2
8,113,14
8,113,14
8,114,2
8,114,2
9,0,79
9,1,3
9,3,5
9,4,38
9,5,327
9,6,612
9,7,651
9,8,106
9,9,18
9,10,7
9,11,1
9,12,1
9,13,13
9,14,126
9,15,59
9,17,2
9,18,7
9,21,12
9,22,3
9,23,9
9,24,8
9,29,140
9,30,299
9,39,262
9,40,431
9,41,6
9,45,4
9,54,24
9,55,12
9,56,4
9,57,18
9,58,56
9,59,13
9,60,11
9,61,5
9,63,16
9,67,63
9,69,11
9,82,7
9,85,2
9,87,7
9,90,3
9,91,5
9,92,43
9,93,162
9,94,67
9,95,294
9,96,1561
9,97,999
9,98,123
9,99,10
9,100,1
9,101,16
9,102,3
9,103,3
9,104,1
9,105,3
9,106,2
9,107,29
9,108,238
9,109,50
9,110,20
9,111,1
9,112,2
9,112,2
9,127,276
9,127,276
10,0,53
10,2,9
10,3,15
10,4,27
