x,y,value
53,78,4
53,79,8
54,78,178
54,79,280
55,76,6
55,77,18
55,78,414
56,75,1156
56,76,84
56,77,811
56,78,1845
56,79,132
57,77,521
57,78,411
57,79,1022
58,77,304
58,78,1267
58,79,1390
59,78,656
59,79,664
62,99,32
63,91,44
63,92,434
63,93,486
63,94,1432
63,95,3288
63,96,5224
63,97,1397
63,98,979
63,99,1759
63,100,42
64,91,4
64,92,644
64,93,166
64,94,168
64,95,1535
64,96,4119
64,97,59
64,98,32
64,99,489
64,100,685
65,92,8
65,93,682
65,94,434
65,95,323
65,96,126
65,98,7
65,99,269
65,100,605
66,93,425
66,94,1904
66,95,5398
66,96,8918
66,97,13
66,98,6
66,99,785
67,96,1781
67,97,1484
67,98,2987
67,99,1689
71,79,347
71,80,2505
71,81,1297
71,82,1021
72,78,5
72,79,470
72,80,783
72,81,756
72,82,464
72,83,12
73,78,1571
73,79,454
73,80,92
73,81,703
73,82,1071
74,78,4
74,79,111
74,80,322
74,81,3413
74,82,88
75,79,5331
75,80,2
80,83,11
81,77,1856
81,78,578
81,79,6690
81,80,2957
81,81,342
81,82,768
81,83,1981
82,74,8
82,75,3503
82,76,2830
82,77,3459
82,78,1748
82,79,2468
82,80,1124
82,81,632
82,82,995
82,83,3574
83,74,4722
83,75,2360
83,76,3352
83,77,242
83,78,79
83,79,4
83,81,14
83,82,5345
83,83,1844
84,74,2645
84,75,1363
84,76,2323
84,77,691
84,78,1
84,81,696
84,82,8563
85,74,1873
85,75,3091
85,76,2944
85,77,31
85,78,4
85,81,316
85,82,6888
86,74,837
86,75,226
86,76,1324
86,77,21
86,79,29
86,80,2
86,81,1526
86,82,2977
87,75,5218
87,76,1658
87,77,400
87,78,7
87,79,2
87,80,94
87,81,9300
87,82,10244
88,75,3284
88,76,2729
88,77,1751
88,78,224
88,79,3
88,80,402
88,81,9756
88,82,3804
89,76,368
89,77,2085
89,78,1787
89,79,4953
89,80,181
89,81,848
89,82,8079
90,78,2513
90,79,8926
90,80,1580
90,81,33
90,82,8683
90,83,2719
91,79,232
91,80,4451
91,81,2851
91,82,6346
91,83,4535
92,80,3475
92,81,13671
92,82,9574
92,83,6434
92,84,720
93,80,116
93,81,22438
93,82,2261
93,83,385
93,84,348
94,81,4567
94,82,356
94,83,536
95,81,3640
95,82,414
95,83,1555
96,81,64
96,82,239
96,83,74
98,65,60
98,66,65
98,67,6
99,63,460
99,64,1580
99,65,291
99,66,339
99,67,573
99,68,2801
100,62,4337
100,63,2235
100,64,5
100,65,541
100,66,247
100,67,17
100,68,266
100,69,2
101,61,84
101,62,1386
101,63,239
101,64,445
101,65,345
101,66,18
101,67,120
101,68,60
101,69,190
101,70,652
102,61,743
102,62,2698
102,63,204
102,64,111
102,65,143
102,66,220
102,67,359
102,68,1184
102,69,725
102,70,2369
102,71,4334
103,62,843
103,63,26
103,64,517
103,65,1169
103,66,547
103,67,1702
103,68,1314
103,69,1733
103,70,7396
103,71,948
104,62,697
104,63,477
104,64,417
104,65,653
104,66,1365
104,67,4450
104,68,5369
104,69,5596
104,70,1841
105,62,3689
105,63,11524
105,64,4550
105,65,407
105,66,3391
105,67,5020
105,68,4302
105,69,9682
105,70,3928
106,62,1080
106,63,7305
106,64,9115
106,65,1822
106,66,6854
106,67,5371
106,68,9017
106,69,3508
107,64,773
107,65,7765
107,66,7358
107,67,6841
107,68,28757
107,69,29753
108,69,56
124,61,300
126,61,80
127,60,2246
127,61,4
