x,y,value
0,68,957
0,69,418
0,81,336
0,82,12483
0,83,47553
0,84,54088
0,85,63132
0,86,27371
0,87,11067
0,88,13182
0,89,440
0,90,12
0,91,22651
0,92,31749
0,93,2488
1,81,1896
1,82,30443
1,83,33790
1,84,22099
1,85,229
2,81,1
2,82,28
2,83,40
2,84,74
2,85,20
3,82,4
3,83,11
3,84,44
23,22,498
23,24,392
23,45,932
23,46,1939
24,22,368
24,23,596
24,24,112
24,25,421
24,40,172
24,41,456
24,42,1504
24,44,1069
24,45,1197
24,46,4058
25,21,409
25,22,209
25,23,429
25,24,25
25,25,34
25,26,304
25,36,52
25,37,584
25,38,243
25,39,21
25,40,115
25,41,814
25,42,415
25,44,166
25,45,1058
25,46,49
26,20,367
26,21,85
26,22,242
26,23,296
26,24,290
26,25,177
26,26,870
26,27,1141
26,28,1672
26,29,292
26,32,20
26,34,668
26,35,1118
26,36,1771
26,37,710
26,38,39
26,39,32
26,40,27
26,41,294
26,45,1894
26,46,4954
26,47,80
27,20,423
27,22,830
27,23,338
27,24,458
27,25,1796
27,26,880
27,27,134
27,28,428
27,29,346
27,30,494
27,31,54
27,32,271
27,33,806
27,34,1946
27,35,19496
27,36,10249
27,37,2320
27,38,1078
27,39,412
27,40,3436
27,45,507
27,46,240
27,47,116
27,72,4
28,18,35
28,19,16
28,20,375
28,21,1336
28,22,411
28,23,291
28,24,272
28,25,317
28,26,216
28,27,281
28,28,335
28,29,408
28,30,876
28,31,2568
28,32,1212
28,33,1905
28,34,1931
28,35,10156
28,36,9633
28,37,2139
28,38,6581
28,39,939
28,40,186
28,41,478
28,42,145
28,43,32
28,44,3567
28,45,1806
28,46,488
28,47,1290
28,48,20
28,72,17469
28,73,14183
28,74,8993
28,75,2001
28,76,1679
28,77,1371
29,18,422
29,19,98
29,20,865
29,21,767
29,22,47
29,23,227
29,24,298
29,25,378
29,26,192
29,27,139
29,28,345
29,29,437
29,30,314
29,31,1051
29,32,295
29,33,643
29,34,4832
29,35,750
29,36,1595
29,37,2842
29,38,428
29,39,4
29,40,2437
29,41,138
29,42,556
29,43,237
29,44,854
29,45,351
29,46,1309
29,47,744
29,48,5325
29,71,768
29,72,1802
29,73,1391
29,74,1836
29,75,879
29,76,11687
29,77,2164
30,10,215
30,11,3521
30,12,844
30,13,121
30,16,40
30,17,1965
30,18,48
30,19,568
30,20,293
30,21,352
30,22,202
30,23,66
30,24,436
30,25,1338
30,26,336
30,27,436
30,28,943
30,29,104
30,30,198
30,31,312
30,32,382
30,33,277
30,34,3713
30,35,3162
30,36,734
30,37,734
30,38,72
30,39,379
30,40,151
30,41,63
30,42,91
30,43,276
30,44,334
30,45,219
30,46,488
30,47,4194
30,48,1719
30,49,4940
30,71,1137
30,72,2357
30,73,722
30,74,916
30,75,1299
30,76,288
31,0,293
31,9,308
31,10,210
31,11,926
31,12,359
31,13,335
31,14,631
31,15,393
31,16,318
31,17,2447
31,18,663
31,19,796
31,20,3646
31,21,280
31,22,304
31,23,177
31,24,9
31,25,719
31,26,82
31,27,329
31,28,138
31,29,599
31,30,654
31,31,702
31,32,666
31,33,2260
31,34,5011
31,35,3267
31,36,3063
31,37,511
31,38,509
31,39,933
31,40,223
31,41,111
31,42,75
31,43,936
31,44,414
31,45,138
31,46,431
31,47,425
31,48,1202
31,49,4122
31,70,8
31,71,4468
31,72,2884
31,73,483
31,74,1519
31,75,6468
32,0,242
32,1,561
32,2,900
32,3,1728
32,4,112
32,6,354
32,7,125
32,9,969
32,10,68
32,11,10
32,12,216
32,13,501
32,14,159
32,15,818
32,16,11
32,17,54
32,18,993
32,19,434
32,20,120
32,21,222
32,22,357
32,23,288
32,24,824
32,25,344
32,26,454
32,27,406
32,28,657
32,29,335
32,30,580
32,31,662
32,32,189
32,33,565
32,34,994
32,35,5
32,36,3
32,37,155
32,38,2987
32,39,2068
32,40,322
32,41,390
32,42,54
32,43,598
32,44,383
32,45,349
32,46,294
32,47,301
32,48,172
32,49,3903
32,50,4028
32,70,1496
32,71,2005
32,72,876
32,73,733
32,74,3057
32,75,64
33,0,431
33,1,448
33,2,3415
33,3,4375
33,4,581
33,5,407
33,6,154
33,7,658
33,8,1495
33,9,28
33,10,39
33,11,1061
33,12,697
33,13,286
33,14,139
33,15,266
33,16,1858
33,17,14
33,18,159
33,19,435
33,21,192
33,22,736
33,23,311
33,24,2565
33,25,388
33,26,158
33,27,428
33,28,569
33,29,2902
33,30,690
33,31,285
33,32,314
33,33,577
33,34,1728
33,35,471
33,36,491
33,37,411
33,38,668
33,39,353
33,40,140
33,41,225
33,42,259
33,43,91
33,44,1128
33,45,263
33,46,268
33,47,423
33,48,235
33,49,429
33,50,7660
33,70,428
33,71,10960
33,72,7960
33,73,3679
33,74,5547
33,78,120
34,0,611
34,1,509
34,2,237
34,3,196
34,4,55
34,5,547
34,6,554
34,7,327
34,8,239
34,9,217
34,10,159
34,11,784
34,12,146
34,13,219
34,14,1623
34,15,243
34,16,739
34,17,693
34,18,302
34,19,2767
34,20,219
34,21,703
34,22,392
34,23,821
34,24,624
34,25,452
34,26,1331
34,27,232
34,28,312
34,29,573
34,30,512
34,31,592
34,32,1131
34,33,467
34,34,3228
34,35,617
34,36,184
34,37,448
34,38,334
34,39,377
34,40,454
34,41,550
34,42,207
34,43,290
34,44,125
34,45,379
34,46,292
34,47,168
34,48,361
34,49,373
34,50,5894
34,51,1296
34,78,280
35,0,56
35,1,53
35,2,228
35,3,3
35,4,167
35,5,673
35,6,178
35,7,348
35,8,199
35,9,207
35,10,193
35,11,381
35,12,240
35,13,80
35,14,67
35,15,10
35,16,307
35,17,857
35,18,925
35,19,850
35,20,399
35,21,397
35,22,593
35,23,611
35,24,537
35,25,643
35,26,372
35,27,70
35,28,243
35,29,584
35,30,317
35,31,432
35,32,574
35,33,3369
35,34,4319
35,35,544
35,36,413
35,37,1490
35,38,240
35,39,273
35,40,402
35,41,3007
35,42,272
35,43,520
35,44,174
35,45,432
35,46,259
35,47,376
35,48,196
35,49,453
35,50,690
35,51,2321
36,0,1153
36,1,282
36,2,339
36,3,367
36,4,330
36,5,431
36,6,336
36,7,108
36,8,24
36,9,444
36,10,9
36,11,349
36,12,87
36,13,221
36,14,353
36,15,282
36,16,10
36,17,1206
36,18,557
36,19,1798
36,20,598
36,21,506
36,22,38
36,23,73
36,24,559
36,25,423
36,26,327
36,27,666
36,28,599
36,29,407
36,30,416
36,31,520
36,32,322
36,33,334
36,34,209
36,35,667
36,36,496
36,37,446
36,38,874
36,39,391
36,40,293
36,41,537
36,42,436
36,43,406
36,44,273
36,45,336
36,46,887
36,47,3231
36,48,290
36,49,255
36,50,566
36,51,401
37,0,550
37,1,254
37,2,396
37,3,96
37,4,890
37,5,1613
37,6,616
37,7,302
37,8,10
37,9,223
37,10,3
37,11,885
37,12,159
37,13,495
37,14,2743
37,15,117
37,16,74
37,17,449
37,18,640
37,19,1077
37,20,1156
37,21,1349
37,22,267
37,23,90
37,24,120
37,25,126
37,26,959
37,27,275
37,28,190
37,29,353
37,30,654
37,31,348
37,32,467
37,33,342
37,34,395
37,35,274
37,36,343
37,37,258
37,38,357
37,39,172
37,40,185
37,41,482
37,42,305
37,43,357
37,44,1460
37,45,292
37,46,248
37,47,374
37,48,284
37,49,327
37,50,2178
37,51,451
37,52,4421
38,0,109
38,1,4
38,2,254
38,3,561
38,4,640
38,5,2178
38,6,352
38,7,485
38,8,303
38,9,72
38,10,231
38,11,174
38,12,266
38,13,66
38,14,213
38,15,406
38,16,122
38,17,55
38,18,664
38,19,1381
38,20,4930
38,21,4443
38,22,941
38,23,42
38,24,78
38,25,52
38,26,2633
38,27,423
38,28,128
38,29,431
38,30,280
38,31,309
38,32,427
38,33,366
38,34,421
38,35,703
38,36,220
38,37,504
38,38,127
38,39,888
38,40,264
38,41,390
38,42,174
38,43,25
38,44,250
38,45,408
38,46,331
38,47,251
38,48,561
38,49,302
38,50,370
38,51,353
38,52,4339
39,0,148
39,1,264
39,2,29
39,3,385
39,4,395
39,5,348
39,6,382
39,7,30
39,8,11
39,9,163
39,10,316
39,11,197
39,12,203
39,13,23
39,14,514
39,15,1012
39,16,548
39,18,464
39,19,2377
39,20,4774
39,21,2785
39,22,626
39,23,270
39,24,117
39,25,93
39,26,150
39,27,941
39,28,426
39,29,213
39,30,287
39,31,319
39,32,216
39,33,925
39,34,197
39,35,237
39,36,219
39,37,603
39,38,1257
39,39,466
39,40,290
39,41,193
39,42,146
39,43,478
39,44,1344
39,45,24
39,46,216
39,47,858
39,48,494
39,49,283
39,50,615
39,51,479
39,52,2603
40,0,1360
40,1,376
40,2,254
40,3,133
