x,y,value
22,115,95
22,116,797
23,115,1764
23,116,2536
23,123,112
23,124,51
23,125,8
24,108,400
24,109,831
24,110,938
24,115,986
24,116,2506
24,117,3941
24,121,9
24,122,62
24,123,852
24,124,2142
24,125,65
25,108,649
25,109,2455
25,110,2527
25,115,5565
25,116,3758
25,117,9492
25,120,4
25,121,164
25,122,520
25,123,1584
25,124,969
25,125,52
26,107,2286
26,108,4397
26,109,7605
26,110,6545
26,111,9009
26,112,12895
26,113,15342
26,114,14407
26,115,4367
26,116,16582
26,117,6264
26,118,3837
26,119,1489
26,120,87
26,121,138
26,122,420
26,123,5049
26,124,951
26,125,81
27,106,296
27,107,6565
27,108,10019
27,109,11073
27,110,8623
27,111,8744
27,112,8611
27,113,8902
27,114,11816
27,115,12386
27,116,25596
27,117,7311
27,118,11998
27,119,6444
27,120,2810
27,121,44
27,122,951
27,123,7434
27,124,1961
27,125,455
28,106,1040
28,107,8502
28,108,17486
28,109,8643
28,110,8719
28,111,9322
28,112,6473
28,113,14325
28,114,7639
28,115,18596
28,116,29288
28,117,10279
28,118,19277
28,119,6373
28,120,7889
28,121,1846
28,122,129
28,123,4065
28,124,763
28,125,176
28,126,3
29,106,82
29,107,6493
29,108,9372
29,109,5576
29,110,7559
29,111,6194
29,112,7922
29,113,13688
29,114,10163
29,115,30173
29,116,49256
29,117,14646
29,118,16214
29,119,15408
29,120,12645
29,121,1300
29,122,1051
29,123,4638
29,124,2526
29,125,1497
29,126,24
30,102,31494
30,103,4132
30,104,920
30,105,3797
30,106,779
30,107,7613
30,108,11593
30,109,6644
30,110,6716
30,111,6398
30,112,10086
30,113,11075
30,114,8415
30,115,21025
30,116,25650
30,117,17950
30,118,11561
30,119,18666
30,120,16315
30,121,7385
30,122,5347
30,123,3110
30,124,1965
30,125,219
30,126,24
31,102,12453
31,103,6543
31,104,6042
31,105,4813
31,106,4351
31,107,5349
31,108,7707
31,109,6958
31,110,9733
31,111,8409
31,112,14836
31,113,7024
31,114,7741
31,115,13291
31,116,12505
31,117,14873
31,118,12774
31,119,13974
31,120,20029
31,121,16018
31,122,3310
31,123,1398
31,124,1131
31,125,104
32,50,1467
32,66,1732
32,67,758
32,68,1198
32,69,285
32,70,1992
32,102,4216
32,103,23918
32,104,5051
32,105,4646
32,106,5462
32,107,4882
32,108,5349
32,109,4572
32,110,5477
32,111,9705
32,112,12379
32,113,17383
32,114,6762
32,115,6912
32,116,9440
32,117,10622
32,118,14628
32,119,18265
32,120,23689
32,121,30467
32,122,11371
32,123,2305
32,124,2726
32,125,130
33,49,1928
33,50,14304
33,51,1009
33,59,2
33,65,1181
33,66,8428
33,67,1748
33,68,1190
33,69,1386
33,70,2993
33,71,697
33,72,74
33,103,9266
33,104,17964
33,105,11319
33,106,1674
33,107,2325
33,108,7125
33,109,7657
33,110,7585
33,111,7259
33,112,13945
33,113,11896
33,114,12811
33,115,9189
33,116,10084
33,117,9903
33,118,3878
33,119,12012
33,120,6462
33,121,26127
33,122,20003
33,123,3392
33,124,4001
33,125,1862
33,126,3284
34,48,1343
34,49,7902
34,50,2835
34,51,5932
34,52,1455
34,53,2334
34,54,417
34,55,579
34,56,3332
34,57,67
34,58,1185
34,59,771
34,60,3431
34,61,40
34,62,52
34,63,99
34,64,273
34,65,1260
34,66,2170
34,67,1826
34,68,2046
34,69,4633
34,71,160
34,72,3
34,105,14054
34,106,12728
34,107,2116
34,108,7019
34,109,5437
34,110,9425
34,111,7511
34,112,12770
34,113,10506
34,114,9886
34,115,8386
34,116,8548
34,117,8912
34,118,1536
34,119,3265
34,120,4461
34,121,10462
34,122,26615
34,123,20574
34,124,7291
34,125,2095
34,126,2165
35,47,8
35,48,1766
35,49,1464
35,50,6334
35,51,1356
35,52,5443
35,53,2382
35,54,3337
35,55,559
35,56,2061
35,57,2866
35,58,3353
35,59,5292
35,60,2664
35,61,2040
35,62,4429
35,63,2864
35,64,892
35,65,1098
35,66,1869
35,67,6581
35,68,14167
35,69,2062
35,106,8219
35,107,11287
35,108,1992
35,109,5234
35,110,5010
35,111,14534
35,112,12763
35,113,10021
35,114,9442
35,115,9198
35,116,11306
35,117,10441
35,118,11726
35,119,8001
35,120,6623
35,121,9196
35,122,20615
35,123,16140
35,124,22269
35,125,13658
35,126,5869
36,47,48
36,48,2219
36,49,3093
36,50,3127
36,51,1499
36,52,2849
36,53,336
36,54,9026
36,55,2111
36,56,5906
36,57,3356
36,58,4046
36,59,4317
36,60,2933
36,61,1672
36,62,1364
36,63,1664
36,64,2132
36,65,890
36,66,1079
36,67,4397
36,68,5089
36,69,6421
36,107,5849
36,108,12514
36,109,4429
36,110,5396
36,111,10501
36,112,10856
36,113,8578
36,114,8030
36,115,8450
36,116,6976
36,117,7050
36,118,8937
36,119,6309
36,120,5368
36,121,6717
36,122,16855
36,123,23537
36,124,20701
36,125,17985
36,126,6921
37,47,636
37,48,1783
37,49,723
37,50,1406
37,51,653
37,52,2605
37,53,6089
37,54,4071
37,55,3295
37,56,3026
37,57,1751
37,58,1388
37,59,2300
37,60,994
37,61,1841
37,62,3639
37,63,951
37,64,2469
37,65,3334
37,66,2329
37,67,2271
37,68,1890
37,69,2736
37,70,5121
37,108,11409
37,109,3750
37,110,4118
37,111,13884
37,112,7132
37,113,7416
37,114,15875
37,115,10151
37,116,4457
37,117,2681
37,118,7216
37,119,6396
37,120,30017
37,121,12830
37,122,19246
37,123,27636
37,124,14927
37,125,18467
37,126,6600
38,47,2852
38,48,6836
38,49,156
38,50,157
38,51,1123
38,52,5914
38,53,7117
38,54,3484
38,55,3451
38,56,4058
38,57,3509
38,58,1553
38,59,1692
38,60,1883
38,61,4574
38,62,1704
38,63,1591
38,64,667
38,65,1531
38,66,1270
38,67,658
38,68,2120
38,69,3943
38,70,5642
38,71,1539
38,108,10932
38,109,4952
38,110,726
38,111,9288
38,112,13632
38,113,7323
38,114,5189
38,115,8036
38,116,4717
38,117,2798
38,118,9115
38,119,8882
38,120,15024
38,121,22310
38,122,27981
38,123,16783
38,124,9018
38,125,7653
38,126,5607
39,48,4540
39,49,6772
39,50,12321
39,51,4065
39,52,13943
39,53,4068
39,54,6310
39,55,3800
39,56,2537
39,57,2245
39,58,1424
39,59,2681
39,60,1462
39,61,971
39,62,1620
39,63,1707
39,64,2341
39,65,516
39,66,4315
39,67,1129
39,68,1733
39,69,1244
39,70,727
39,71,3985
39,72,1521
39,108,28802
39,109,17021
39,110,11100
39,111,7186
39,112,9881
39,113,10065
39,114,10657
39,115,9190
39,116,5348
39,117,5531
39,118,11533
39,119,6871
39,120,18685
39,121,39366
39,122,42444
39,123,18596
40,50,1252
40,51,21858
40,52,7174
40,53,4205
40,54,5627
40,55,4051
40,56,3224
40,57,1997
40,58,984
40,59,1593
40,60,2887
40,61,1011
40,62,993
40,63,1076
40,64,1825
40,65,554
40,66,1302
40,67,1494
40,68,1117
40,69,2462
40,70,1402
40,71,594
40,72,907
40,73,396
40,108,19372
40,109,8821
40,110,7329
40,111,5331
40,112,5272
40,113,7243
40,114,11086
40,115,8695
40,116,3648
40,117,4021
40,118,14012
40,119,6070
40,120,17215
40,121,37877
40,122,55254
40,123,21998
41,51,17412
41,52,5172
41,53,1316
41,54,1471
41,55,1762
41,56,2610
41,57,2163
41,58,1551
41,59,1507
41,60,945
41,61,2849
41,62,1671
41,63,964
41,64,965
41,65,1428
41,66,1637
41,67,253
41,68,1105
41,69,281
41,70,1682
41,71,841
41,72,1569
41,73,4585
41,107,9245
41,108,22482
41,109,5739
41,110,3052
41,111,3448
41,112,4360
41,113,4505
41,114,4060
41,115,8044
41,116,7336
41,117,12214
41,118,9633
41,119,10199
41,120,54150
41,121,44930
41,122,63006
41,123,26876
42,50,7579
42,51,6767
42,52,1661
42,53,321
42,54,2981
42,55,1372
42,56,459
42,57,739
42,58,796
42,59,106
42,60,93
42,61,431
42,62,2261
42,63,3814
42,64,656
42,65,1185
42,66,516
42,67,1142
42,68,891
42,69,1507
42,70,956
42,71,2087
42,72,4319
42,73,3712
42,74,168
42,107,17416
42,108,7587
42,109,2327
42,110,5125
42,111,4531
42,112,4842
42,113,5771
42,114,8150
42,115,11923
42,116,6215
42,117,7461
42,118,8671
42,119,9170
42,120,25633
42,121,66068
42,122,34904
42,123,33728
42,124,10564
42,125,13022
42,126,7654
42,127,12840
43,49,48
43,50,10672
43,51,1171
43,52,717
43,53,165
43,54,187
43,55,123
43,56,1253
43,57,1418
43,58,791
43,59,1247
43,60,854
43,61,50
43,62,713
43,63,1019
43,64,526
43,65,1279
43,66,231
43,67,701
43,68,911
43,69,5074
43,70,10395
43,71,2690
43,72,7913
43,73,9931
43,106,866
43,107,15921
43,108,4599
43,109,3336
43,110,4008
43,111,2671
43,112,4004
43,113,4861
43,114,6331
43,115,15327
43,116,7200
43,117,11664
43,118,9556
43,119,11879
43,120,10914
43,121,20349
43,122,34270
43,123,20203
43,124,15626
43,125,4720
43,126,7030
43,127,9112
44,49,28
44,50,1377
44,51,7069
44,52,2731
44,53,6148
44,54,722
44,55,505
44,56,2308
44,57,2880
44,58,4002
44,59,1191
44,60,258
44,61,55
44,62,2542
44,63,2212
44,64,1817
44,65,125
44,66,1085
44,67,395
44,68,1176
44,69,5006
44,70,8487
44,71,4165
44,72,4763
44,105,1208
44,106,13527
44,107,3635
44,108,4246
44,109,3118
44,110,1819
44,111,4234
44,112,5423
44,113,5252
44,114,6440
44,115,7197
44,116,6750
44,117,11548
44,118,9825
44,119,16732
44,120,13219
44,121,25109
44,122,25587
44,123,14767
44,124,7656
44,125,2560
44,126,1992
44,127,10535
45,53,20
45,54,133
45,55,459
45,56,3340
45,57,2745
45,58,5154
45,59,9229
45,60,772
45,61,7
45,62,120
45,63,1416
45,64,1930
45,65,394
45,66,6767
45,67,7632
45,68,5797
45,69,3516
45,70,98
45,105,7247
45,106,5070
45,107,2918
45,108,2387
45,109,6750
45,110,1721
45,111,3637
45,112,5012
45,113,7833
45,114,7421
45,115,33005
45,116,6096
45,117,6685
45,118,11423
45,119,20503
45,120,15342
45,121,12371
45,122,24854
45,123,18826
45,124,6759
45,125,2893
45,126,2408
45,127,4025
46,64,2876
46,65,823
46,66,895
46,93,1745
46,104,5624
46,105,25572
46,106,6433
46,107,2458
46,108,2351
46,109,5292
46,110,1931
46,111,3874
46,112,7282
46,113,7757
46,114,8154
46,115,7637
46,116,6633
46,117,8916
46,118,9049
46,119,9367
46,120,11636
46,121,10938
46,122,20198
46,123,17478
46,124,7844
46,125,1601
46,126,1310
46,127,2274
47,97,452
47,104,10086
47,105,27613
47,106,12177
47,107,4312
47,108,2974
47,109,2238
47,110,2662
47,111,2737
47,112,5946
47,113,12352
47,114,7045
47,115,6245
47,116,10143
47,117,6438
47,118,7020
47,119,10644
47,120,10636
47,121,17251
47,122,27065
47,123,8147
47,124,8334
47,125,5475
47,126,1131
47,127,1482
48,88,456
48,90,220
48,104,55580
48,105,13347
48,106,5126
48,107,3567
48,108,1184
48,109,4049
48,110,2116
48,111,4079
48,112,4749
48,113,11883
48,114,7050
48,115,6614
48,116,18827
48,117,5088
48,118,12066
48,119,6419
48,120,7803
48,121,14325
48,122,10850
48,123,6609
48,124,10429
48,125,4524
48,126,2920
48,127,1837
49,90,15823
49,102,12036
49,103,65961
49,104,35374
49,105,2671
49,106,7637
49,107,1087
49,108,6557
49,109,3388
49,110,4968
49,111,4723
49,112,8381
49,113,9148
49,114,6719
49,115,4510
49,116,3167
49,117,6327
49,118,6062
49,119,8037
49,120,12302
49,121,20702
49,122,12648
49,123,3548
49,124,10669
49,125,7080
49,126,1379
49,127,1341
50,85,36
50,90,24270
50,91,3028
50,98,21052
50,99,37748
50,100,12159
50,101,1649
50,102,63819
50,103,20713
50,104,3065
50,105,5132
50,106,4946
50,107,2596
50,108,5167
50,109,7779
50,110,6308
50,111,7998
50,112,16913
50,113,14776
50,114,5444
50,115,3557
50,116,3877
50,117,6522
50,118,5644
50,119,8076
50,120,11312
50,121,8346
50,122,7277
50,123,4325
50,124,1904
50,125,5908
50,126,6278
50,127,4568
51,89,725
51,90,16387
51,91,5615
51,96,5443
51,97,26198
51,98,6018
51,99,8488
51,100,23197
51,101,28921
51,102,17824
51,103,8056
51,104,9554
51,105,11391
51,106,3425
51,107,2356
51,108,7531
51,109,6700
51,110,9946
51,111,18768
51,112,11890
51,113,14667
51,114,12829
51,115,8715
51,116,9741
51,117,6379
51,118,8135
51,119,16133
51,120,11220
51,121,10414
51,122,7074
51,123,4246
51,124,1703
51,125,429
51,126,548
51,127,1445
52,92,23610
52,93,5209
52,94,6912
52,95,3789
52,96,17620
52,97,4724
52,98,2757
52,99,9996
52,100,20195
52,101,16590
52,102,49603
52,103,9380
52,104,8746
52,105,1404
52,106,3249
52,107,7631
52,108,6465
52,109,5786
52,110,6175
52,111,20020
52,112,11056
52,113,8354
52,114,11402
52,115,5786
52,116,4838
52,117,5190
52,118,5379
52,119,6297
52,120,9191
52,121,14224
52,122,5329
52,123,1403
52,124,5497
52,125,1507
52,126,212
52,127,27
53,92,4816
53,93,4441
53,94,2093
53,95,1036
53,96,3504
53,97,579
53,98,5293
53,99,14143
53,100,18533
53,101,18132
53,102,44071
53,103,11234
53,104,2358
53,105,3478
53,106,4416
53,107,6635
53,108,8990
53,109,8795
53,110,10981
53,111,20018
53,112,10330
53,113,8465
53,114,15391
53,115,10480
53,116,6037
53,117,4766
53,118,7703
53,119,24837
53,120,16651
53,121,12344
53,122,6939
53,123,3177
53,124,1114
53,125,2516
53,126,3222
53,127,2462
54,90,6357
54,91,1269
54,92,13328
54,93,657
54,94,896
54,95,857
54,96,821
54,97,1788
54,98,2327
54,99,3442
54,100,24931
54,101,22458
54,102,29661
54,103,8462
