x,y,value
0,81,177
0,84,44
0,85,58
0,87,88
0,89,39
0,90,65
0,91,89
0,92,117
0,93,142
0,94,138
0,95,713
0,96,266
0,97,791
0,98,506
0,99,512
0,100,196
0,101,256
0,102,375
0,103,674
0,104,384
0,105,386
0,106,424
0,107,178
0,108,103
0,109,359
0,110,231
0,111,326
0,112,696
0,113,255
0,114,328
0,115,183
0,116,222
0,117,460
0,118,380
0,119,161
0,120,150
0,121,239
0,122,326
0,123,390
0,124,50
0,125,280
0,126,242
0,127,562
1,81,46
1,85,4
1,86,8
1,87,8
1,88,44
1,89,273
1,90,27
1,91,118
1,92,52
1,93,15
1,94,11
1,95,402
1,96,1317
1,97,1823
1,98,851
1,99,517
1,100,311
1,101,305
1,102,415
1,103,232
1,104,558
1,105,631
1,106,218
1,107,185
1,108,109
1,109,353
1,110,225
1,111,215
1,112,643
1,113,255
1,114,160
1,115,413
1,116,299
1,117,117
1,118,63
1,119,581
1,120,771
1,121,340
1,122,4
1,123,260
1,124,121
1,125,300
1,126,142
1,127,1022
2,85,46
2,86,23
2,87,37
2,88,19
2,89,257
2,90,76
2,91,2
2,92,5
2,93,54
2,94,142
2,95,397
2,96,1078
2,97,724
2,98,590
2,99,761
2,100,329
2,101,216
2,102,456
2,103,161
2,104,739
2,105,442
2,106,236
2,107,336
2,108,447
2,109,619
2,110,199
2,111,336
2,112,367
2,113,205
2,114,237
2,115,449
2,116,420
2,117,229
2,118,41
2,119,78
2,120,260
2,121,496
2,122,45
2,123,456
2,124,245
2,125,264
2,126,140
2,127,198
3,84,4
3,85,304
3,86,158
3,87,139
3,88,133
3,89,16
3,90,32
3,91,125
3,93,80
3,94,67
3,95,492
3,96,349
3,97,793
3,98,631
3,99,772
3,100,519
3,101,481
3,102,337
3,103,419
3,104,794
3,105,680
3,106,499
3,107,471
3,108,475
3,109,438
3,110,365
3,111,369
3,112,395
3,113,399
3,114,105
3,115,1453
3,116,486
3,117,361
3,118,465
3,119,262
3,120,233
3,121,8
3,122,7
3,123,564
3,124,415
3,125,233
3,126,301
3,127,264
4,84,122
4,85,334
4,86,26
4,87,3
4,88,67
4,89,97
4,90,4
4,91,41
4,94,246
4,95,205
4,96,212
4,97,518
4,98,501
4,99,742
4,100,459
4,101,909
4,102,708
4,103,702
4,104,362
4,105,1134
4,106,432
4,107,288
4,108,164
4,109,478
4,110,434
4,111,667
4,112,435
4,113,197
4,114,380
4,115,276
4,116,506
4,117,286
4,118,148
4,119,745
4,120,315
4,121,466
4,122,556
4,123,108
4,124,522
4,126,33
4,127,94
5,84,27
5,86,1
5,87,83
5,88,12
5,89,184
5,91,3
5,92,93
5,93,100
5,94,68
5,95,180
5,96,64
5,97,370
5,98,311
5,99,379
5,100,452
5,101,192
5,102,502
5,103,951
5,104,158
5,105,487
5,106,401
5,107,397
5,108,287
5,109,327
5,110,625
5,111,284
5,112,254
5,113,451
5,114,322
5,115,229
5,116,375
5,117,682
5,118,394
5,119,214
5,120,677
5,121,332
5,122,565
5,123,22
5,124,229
5,125,214
5,126,160
5,127,386
6,86,3
6,87,1
6,88,75
6,89,72
6,90,172
6,91,52
6,92,35
6,93,8
6,94,47
6,95,16
6,96,195
6,97,341
6,98,692
6,99,328
6,100,404
6,101,578
6,102,1142
6,103,556
6,104,393
6,105,772
6,106,410
6,107,56
6,108,603
6,109,442
6,110,260
6,111,259
6,112,366
6,113,198
6,114,195
6,115,59
6,116,71
6,117,210
6,118,845
6,119,1684
6,120,997
6,121,842
6,122,792
6,123,227
6,124,80
6,125,617
6,127,17
7,87,13
7,88,81
7,90,36
7,91,26
7,93,15
7,94,24
7,95,13
7,97,43
7,98,221
7,99,346
7,100,643
7,101,1282
7,102,511
7,103,751
7,104,344
7,105,325
7,106,25
7,107,509
7,108,342
7,109,341
7,110,882
7,111,306
7,112,214
7,113,264
7,114,178
7,115,159
7,117,490
7,118,201
7,119,1651
7,120,2610
7,121,837
7,122,416
7,123,266
7,124,487
7,125,324
7,126,173
7,127,133
8,86,44
8,87,51
8,89,16
8,90,40
8,91,2
8,92,14
8,93,81
8,97,112
8,98,203
8,99,554
8,100,186
8,101,256
8,102,437
8,103,385
8,104,395
8,105,370
8,106,294
8,107,699
8,108,1239
8,109,874
8,110,648
8,111,625
8,112,297
8,113,197
8,114,88
8,115,157
8,116,146
8,117,346
8,118,41
8,119,672
8,120,1211
8,121,1016
8,122,760
8,123,187
8,124,160
8,125,314
8,126,327
8,127,520
9,90,39
9,91,10
9,92,109
9,95,19
9,96,137
9,97,307
9,98,424
9,99,268
9,100,726
9,101,453
9,102,575
9,103,339
9,104,565
9,105,783
9,106,436
9,107,294
9,108,551
9,109,331
9,110,374
9,111,491
9,112,107
9,113,331
9,114,224
9,115,218
9,116,80
9,117,302
9,118,868
9,119,272
9,120,914
9,121,419
9,122,58
9,123,1011
9,124,590
9,125,579
9,126,768
9,127,789
10,86,8
10,87,11
10,88,8
10,90,11
10,95,18
10,96,153
10,97,426
10,98,201
10,100,525
10,101,343
10,102,357
10,103,672
10,104,554
10,105,201
10,106,665
10,107,638
10,108,525
10,109,160
