x,y,value
6,3,4
6,6,8
7,4,2
8,5,277
9,3,1
9,4,4
9,5,242
10,1,12
10,2,1
10,4,1
11,0,4
11,1,3
11,2,2
11,4,345
12,0,11
12,1,5
12,2,1
12,3,122
12,4,490
12,5,60
13,0,486
13,1,82
13,3,249
13,4,675
13,5,158
14,0,54
14,1,229
14,2,5
14,3,16
14,4,43
14,5,701
15,0,28
15,1,124
15,2,51
15,3,21
15,4,11
15,5,12
15,6,222
15,7,4
16,1,16
16,2,289
16,3,310
16,4,39
16,5,38
16,6,215
16,7,24
17,2,248
17,3,181
17,4,45
17,5,5
17,6,499
17,7,548
18,2,56
18,3,300
18,4,21
18,5,738
18,6,213
18,7,31
19,4,535
19,5,766
19,6,47
20,4,20
20,5,28
29,51,68
29,52,12
29,53,8
29,54,8
29,55,16
29,56,60
29,57,52
30,45,532
30,46,1204
30,47,372
30,48,415
30,49,1029
30,50,627
30,51,439
30,52,289
30,53,451
30,54,244
30,55,231
30,56,910
30,57,310
30,58,8
31,37,44
31,38,28
31,39,139
31,40,647
31,41,86
31,42,20
31,43,877
31,44,417
31,45,259
31,46,286
31,47,773
31,48,688
31,49,1959
31,50,804
31,51,112
31,52,179
31,53,64
31,54,22
31,55,55
31,56,129
31,57,210
31,58,34
32,37,4
32,39,359
32,40,113
32,41,8
32,42,27
32,43,20
32,44,20
32,45,303
32,46,576
32,47,611
32,48,1102
32,49,1226
32,50,138
32,51,29
32,54,5
32,55,37
32,56,61
32,57,101
32,58,153
32,59,113
33,39,143
33,40,86
33,41,1
33,45,2
33,46,16
33,47,140
33,48,1132
33,49,93
33,51,1
33,52,1
33,56,72
33,57,175
33,58,73
33,59,251
34,41,209
34,42,16
34,45,1
34,46,2
34,47,21
34,48,460
34,49,104
34,52,1
34,54,9
34,56,45
34,57,93
34,58,26
34,59,91
35,40,12
35,41,16
35,42,309
35,44,5
35,45,12
35,46,15
35,47,4
35,48,8
35,49,6
35,54,2
35,56,70
35,57,13
35,58,111
35,59,28
36,41,4
36,42,197
36,43,394
36,44,25
36,45,24
36,46,226
36,47,43
36,48,3
36,56,23
36,57,91
36,58,444
37,42,425
37,43,214
37,44,705
37,45,798
37,46,807
37,47,1138
37,48,410
37,49,18
37,56,3
37,57,497
38,43,28
38,44,476
38,45,382
38,46,1512
38,47,1242
38,48,2242
38,49,546
38,50,2
38,55,1
38,56,11
38,57,136
39,48,5344
39,49,1161
39,50,61
39,51,1
39,52,4
39,54,12
39,55,82
39,56,397
39,57,43
40,49,680
40,50,276
40,51,316
40,52,441
40,53,327
40,54,864
40,55,1197
40,56,733
40,57,104
41,49,12
41,50,291
41,51,191
41,52,200
41,53,112
41,54,820
41,55,128
49,9,332
49,10,600
50,7,8
50,8,4
50,9,1228
50,10,457
50,11,1
50,12,101
51,7,339
51,8,19
51,9,36
51,10,664
51,11,172
51,12,188
51,13,885
51,14,136
52,6,6
52,7,68
52,8,27
52,9,100
52,10,495
52,11,172
52,12,17
52,13,48
52,14,113
53,4,4
53,5,1
53,6,47
53,7,10
53,8,65
53,9,123
53,10,58
53,12,8
53,13,29
53,14,38
53,15,148
54,4,44
54,5,87
54,6,285
54,7,96
54,8,101
54,9,53
54,10,1
54,11,2
54,12,459
54,13,711
54,14,9
54,15,12
55,4,1275
55,5,40
55,6,143
55,7,50
55,8,19
55,9,1
55,10,20
55,11,47
55,12,55
55,13,123
55,14,118
56,4,212
56,5,2
56,6,42
56,7,88
56,8,19
56,9,3
56,10,77
56,11,130
56,12,282
56,13,198
57,5,4
57,7,18
57,8,113
57,9,4
57,10,480
57,11,516
57,12,71
57,13,16
58,5,4
58,6,2
58,7,34
58,8,175
58,9,9
58,10,7
58,11,546
58,12,1797
58,13,72
59,5,16
59,6,13
59,7,144
59,8,6
59,10,4
59,11,8
60,5,8
60,6,4783
60,7,164
60,8,1
61,6,244
61,7,12
73,16,8
74,15,27
74,16,6
75,5,1428
75,6,1332
75,7,2821
75,8,643
75,9,1882
75,12,4
75,13,22
75,14,25
75,15,57
75,16,112
76,1,48
76,2,1808
76,3,110
76,4,250
76,5,1060
76,6,130
76,7,137
76,8,121
76,9,174
76,10,400
76,12,75
76,13,119
76,14,397
76,15,172
76,16,1807
76,17,8
77,0,852
77,1,200
77,2,527
77,3,413
77,4,184
77,5,206
77,6,607
77,7,297
77,8,783
77,9,25
77,10,449
77,11,339
77,12,37
77,14,7
77,15,382
77,16,1097
77,17,24
78,0,167
78,1,760
78,2,376
78,3,148
78,4,149
78,5,437
78,6,918
78,7,316
78,8,14
78,10,1
78,11,32
78,12,63
78,13,189
78,14,56
78,15,752
78,16,1280
78,17,8
79,0,5
79,1,593
79,2,231
79,3,233
79,4,201
79,5,31
79,6,128
79,7,24
79,12,13
79,13,460
79,14,390
79,15,1999
79,16,12
80,0,6
80,1,11
80,2,7
80,3,4
80,4,1
80,7,2
80,12,1
80,13,106
80,14,674
80,15,1392
81,0,232
81,1,32
81,12,13
81,13,80
81,14,634
81,15,2216
82,0,117
82,1,32
82,5,1
82,12,210
82,13,843
