x,y,value
0,0,688
0,6,20
0,13,4
0,14,2
0,17,10
0,18,424
0,20,688
0,21,60
0,22,28
1,0,244
1,1,8
1,2,1
1,9,2
1,12,2
1,18,164
1,19,8
1,20,513
1,21,296
1,22,4
2,2,257
2,3,2
2,17,8
2,20,208
2,22,180
2,23,72
2,24,7
3,2,12
3,3,152
3,4,4
3,12,2
3,16,244
3,17,232
3,20,280
3,22,3
3,24,599
3,25,220
4,5,56
4,7,3
4,14,42
4,15,107
4,16,1
4,20,340
4,23,1024
4,24,296
5,0,8
5,4,60
5,6,40
5,7,196
5,9,1
5,14,17
5,15,8
5,20,1
5,21,2
5,22,13
5,27,28
5,28,40
6,0,3
6,1,16
6,4,44
6,5,116
6,6,128
6,7,164
6,8,54
6,9,3
6,10,7
6,11,11
6,12,7
6,13,12
6,14,13
6,21,49
6,24,396
6,25,36
6,26,28
7,1,120
7,5,64
7,6,40
7,7,64
7,8,16
7,9,5
7,10,28
7,11,1
7,19,1
7,20,3
7,21,10
7,24,372
7,26,856
8,0,288
8,1,416
8,2,20
8,5,424
8,6,4
8,7,6
8,8,38
8,9,76
8,10,56
8,11,84
8,14,3
8,17,1
8,19,4
8,21,1
8,22,77
8,23,24
8,25,12
8,27,20
8,28,12
9,0,32
9,1,4
9,2,112
9,5,24
9,6,3
9,7,38
9,8,80
9,10,17
9,11,31
9,12,9
9,14,1
9,15,1
9,16,1
9,19,6
9,23,1
9,26,20
9,27,44
10,0,443
10,1,184
10,2,304
10,3,28
10,6,119
10,7,26
10,8,87
10,9,43
10,10,84
10,11,30
10,12,45
10,13,37
10,14,5
10,18,2
10,22,8
10,26,20
10,27,164
10,29,24
10,30,24
11,0,7
11,1,652
11,2,373
11,3,203
11,6,514
11,7,53
11,8,6
11,9,30
11,10,66
11,11,10
11,12,41
11,13,66
11,14,1
11,15,1
11,17,55
11,18,70
11,19,34
11,21,12
11,22,420
11,23,132
11,24,412
11,26,2
11,28,60
11,29,20
11,31,8
12,0,67
12,1,27
12,2,37
12,3,299
12,6,376
12,7,25
12,8,172
12,9,55
12,10,89
12,11,1
12,12,17
12,13,51
12,14,1
12,16,3
12,17,65
12,19,19
12,20,23
12,21,50
12,22,320
12,24,40
12,25,916
12,26,220
12,27,244
12,28,72
12,31,4
12,32,40
13,0,20
13,2,9
13,3,208
13,4,172
13,6,291
13,9,492
13,10,759
13,11,3
13,12,504
13,13,180
13,14,492
13,15,408
13,16,10
13,17,42
13,20,304
13,21,10
13,22,1
13,25,124
13,26,4
13,30,4
13,31,44
13,32,1740
13,33,64
14,3,2
14,4,280
14,5,12
14,6,100
14,7,36
14,8,72
14,9,200
14,10,1691
14,11,263
14,12,732
14,13,228
14,14,100
14,15,56
14,16,470
14,17,9
14,19,16
14,20,216
14,21,468
14,22,386
14,23,456
14,24,2
14,28,4
14,29,9
14,30,868
14,31,608
14,32,108
14,38,16
14,39,28
14,40,36
15,0,1
15,4,11
15,5,78
15,7,286
15,8,572
15,10,3432
15,11,1896
15,12,700
15,13,820
15,14,596
15,16,176
15,17,42
15,18,1
15,19,144
15,20,188
15,21,124
15,22,160
15,23,104
15,24,4
15,28,88
15,29,1
15,31,12
15,33,188
15,39,12
15,40,40
15,41,8
16,0,53
16,1,2
16,5,2
16,6,52
16,8,12
16,10,3677
16,11,662
16,12,457
16,13,4
16,14,105
16,15,472
16,16,24
16,17,1452
16,18,120
16,19,144
16,20,84
16,21,12
16,27,40
16,28,169
16,32,140
16,33,28
16,34,56
16,35,20
17,0,37
17,2,15
17,3,70
17,4,146
17,5,93
17,6,252
17,7,192
17,8,564
17,9,628
17,10,2524
17,13,1
17,14,1
17,15,5
17,16,488
17,17,1004
17,18,236
17,19,44
17,22,432
17,23,28
17,26,28
17,27,128
17,28,2
17,32,552
17,34,252
17,36,8
17,38,100
18,0,1
18,2,3
18,4,21
18,5,1088
18,6,304
18,7,719
18,8,21
18,9,188
18,10,1028
18,11,142
18,12,1
18,13,3
18,14,1
18,15,2
18,16,85
18,19,980
18,20,224
18,21,189
18,22,4
18,23,264
18,26,164
18,27,4
18,31,24
18,32,88
18,33,24
18,38,132
18,40,16
19,3,1
19,4,5
19,5,1238
19,6,1272
19,7,189
19,9,29
19,10,32
19,11,156
19,12,227
19,13,36
19,15,35
19,16,15
19,17,1
19,19,45
19,22,1
19,23,85
19,24,14
19,27,445
19,28,1
19,29,1
19,30,576
19,31,400
19,32,208
19,36,8
19,37,12
19,38,18
19,40,21
19,41,10
20,2,19
20,3,11
20,4,6
20,5,863
20,6,2001
20,7,6
20,8,1
20,9,18
20,10,66
20,11,7
20,12,54
20,13,81
20,14,81
20,15,93
20,16,76
20,17,104
20,18,15
20,19,6
20,20,1
20,24,460
20,27,352
20,32,232
20,33,92
20,34,1
20,37,12
20,40,9
20,41,752
20,44,52
20,49,40
20,56,4
21,1,12
21,2,51
21,3,16
21,4,116
21,5,65
21,6,13
21,7,5
21,9,77
21,10,141
21,11,9
21,14,40
21,15,104
21,16,66
21,17,57
21,18,928
21,19,376
21,20,83
21,21,155
21,23,304
21,24,92
21,27,284
21,28,1
21,33,211
21,37,24
21,41,64
21,44,132
21,52,32
21,55,180
21,56,8
22,1,1
22,2,11
22,3,8
22,4,3
22,5,37
22,6,41
22,7,1
22,8,18
22,9,1
22,10,84
22,11,65
22,13,1
22,14,1
22,15,34
22,16,22
22,17,6
22,18,7
22,19,440
22,20,468
22,21,100
22,22,64
22,28,366
22,33,4
22,34,1
22,40,120
22,41,256
22,44,68
22,45,27
22,47,40
23,0,8
23,2,1
23,3,115
23,5,9
23,6,20
23,7,30
23,8,20
23,9,3
23,10,21
23,11,65
23,12,17
23,13,2
23,14,7
23,15,17
23,16,3
23,17,1
23,18,1
23,19,21
23,20,84
23,22,36
23,23,52
23,24,180
23,25,48
23,26,220
23,27,8
23,28,248
23,34,1
23,37,12
23,41,1
23,44,320
23,45,280
23,55,132
23,56,3
24,2,16
24,3,37
24,4,4
24,5,3
24,6,2
24,7,20
24,8,26
24,9,1
24,10,4
24,12,2
24,17,6
24,18,5
24,19,422
24,22,52
24,23,284
24,24,40
24,25,36
24,27,208
24,28,12
24,29,80
24,30,1
24,35,4
24,36,265
24,37,544
24,40,92
24,41,116
24,43,32
24,45,72
24,46,20
24,47,28
24,48,24
24,53,84
24,54,136
24,55,63
24,56,4
24,62,12
25,0,1
25,2,34
25,3,3
25,4,14
25,5,3
25,6,1
25,7,1
25,8,69
25,9,1
25,10,512
25,11,393
25,12,224
25,13,196
25,14,4
25,15,4
25,16,203
25,17,236
25,18,292
25,19,36
25,22,348
25,23,1
25,28,124
25,29,192
25,30,240
25,31,2
25,34,1
25,36,316
25,37,1052
25,38,136
25,39,104
25,44,16
25,45,72
25,47,12
25,49,4
25,51,40
25,52,36
25,54,16
25,55,160
25,56,13
26,0,7
26,1,5
26,2,29
26,4,5
26,7,8
26,8,10
26,9,189
26,10,204
26,11,201
26,12,187
26,13,108
26,14,112
26,15,168
26,16,668
26,17,352
26,18,328
26,20,92
26,21,476
26,22,92
26,23,1
26,28,200
26,30,540
26,31,17
26,32,2
26,33,4
26,34,2
26,36,556
26,37,264
26,38,52
26,39,60
26,41,4
26,42,48
26,43,238
26,46,34
26,47,32
26,48,32
26,49,1
26,51,232
26,53,36
26,54,12
26,55,20
26,56,120
26,57,2
26,59,8
26,62,4
26,64,4
26,65,12
27,0,205
27,1,526
27,2,235
27,3,242
27,4,9
27,6,1
27,7,28
27,8,26
27,9,118
27,10,1
27,11,1
27,12,5
27,13,3
27,16,112
27,17,64
27,19,132
27,20,497
27,21,15
27,28,280
27,29,108
27,30,638
27,31,1
27,33,22
27,34,506
27,35,368
27,36,1900
27,37,1512
27,39,2
27,42,422
