x,y,value
59,124,12
59,124,12
59,125,96
59,125,96
60,125,32
60,125,32
60,126,22
60,126,22
60,127,56
60,127,56
61,108,4
61,108,4
63,100,6
63,100,6
63,101,258
63,101,258
63,102,4
63,102,4
63,126,44
63,126,44
63,127,6
63,127,6
64,88,28
64,88,28
64,91,6
64,91,6
64,93,54
64,93,54
64,94,40
64,94,40
64,98,34
64,98,34
64,99,1
64,100,24
64,100,24
64,101,862
64,101,862
64,102,66
64,102,66
64,125,2
64,125,2
64,126,66
64,126,66
64,127,68
64,127,68
65,88,20
65,88,20
65,90,46
65,90,46
65,91,152
65,91,152
65,92,44
65,92,44
65,93,14
65,93,14
65,98,222
65,98,222
65,99,14
65,99,14
65,100,96
65,100,96
65,101,284
65,101,284
65,125,24
65,125,24
65,126,36
65,126,36
65,127,42
65,127,42
66,80,2
66,80,2
66,90,8
66,90,8
66,125,42
66,125,42
66,126,18
66,126,18
66,127,8
66,127,8
67,75,2
67,75,2
67,77,74
67,77,74
67,79,134
67,79,134
67,80,176
67,80,176
67,81,324
67,81,324
67,82,2
67,82,2
67,83,172
67,83,172
67,84,140
67,84,140
67,85,274
67,85,274
67,86,20
67,86,20
67,87,510
67,87,510
67,88,98
67,88,98
67,127,10
67,127,10
68,75,34
68,75,34
68,76,28
68,76,28
68,77,324
68,77,324
68,79,268
68,79,268
68,80,50
68,80,50
68,81,52
68,82,22
68,83,174
68,83,174
68,84,116
68,84,116
68,85,92
68,85,92
68,86,4
68,87,202
68,87,202
68,88,180
68,88,180
68,105,96
68,105,96
68,127,28
68,127,28
69,74,2
69,74,2
69,75,46
69,75,46
69,76,21
69,77,116
69,77,116
69,78,6
69,78,6
69,79,332
69,79,332
69,80,368
69,80,368
69,81,50
69,81,50
69,82,90
69,82,90
69,83,282
69,83,282
69,84,8
69,84,8
69,86,112
69,86,112
69,103,16
69,103,16
69,104,128
69,104,128
70,50,6
70,50,6
70,69,2
70,69,2
70,72,150
70,72,150
70,73,206
70,73,206
70,74,38
70,74,38
70,75,38
70,75,38
70,76,352
70,76,352
70,77,374
70,77,374
70,78,24
70,78,24
70,79,122
70,79,122
70,80,132
70,80,132
70,81,6
70,81,6
70,82,46
70,82,46
70,83,32
70,83,32
70,101,4
70,101,4
70,103,112
70,103,112
70,104,22
70,104,22
70,105,126
70,105,126
70,115,14
70,115,14
70,117,4
70,117,4
70,118,22
70,118,22
70,119,8
70,119,8
70,120,12
70,120,12
71,70,24
71,70,24
71,71,18
71,71,18
71,72,192
71,72,192
71,73,536
71,73,536
71,75,56
71,75,56
71,76,4
71,76,4
71,77,2
71,77,2
71,78,8
71,78,8
71,82,2
71,82,2
71,101,34
71,101,34
71,102,186
71,102,186
71,103,98
71,103,98
71,104,50
71,104,50
71,113,108
71,113,108
71,114,106
71,114,106
71,115,16
71,115,16
71,116,26
71,116,26
71,117,98
71,117,98
71,118,12
71,118,12
71,120,44
71,120,44
71,122,2
71,122,2
71,123,2
71,123,2
72,47,2
72,47,2
