x,y,value
0,0,2748
0,1,504
0,2,2272
0,3,936
0,4,662
0,5,6219
0,6,11388
0,7,13179
0,8,21400
0,9,47275
0,10,64347
0,11,2395
1,0,1051
1,1,133
1,2,1140
1,3,2425
1,4,2596
1,5,9514
1,6,4989
1,7,5203
1,8,24680
1,9,6698
1,10,11576
1,11,4424
2,0,1480
2,1,2599
2,2,3754
2,3,1196
2,4,2168
2,5,2891
2,6,13943
2,7,7366
2,8,20807
2,9,2782
2,10,5215
2,11,56
3,0,1204
3,1,574
3,2,470
3,3,1772
3,4,2713
3,5,1209
3,6,872
3,7,757
3,8,1921
3,9,825
3,10,1944
4,0,1533
4,1,34
4,2,1250
4,3,1220
4,4,492
4,5,739
4,6,1760
4,7,805
4,8,3484
4,9,3631
4,10,520
5,0,1411
5,1,1168
5,2,1647
5,3,1416
5,4,906
5,5,216
5,6,2167
5,7,1599
5,8,616
5,9,2212
6,0,923
6,1,7727
6,2,9876
6,3,4568
6,4,1806
6,5,628
6,6,693
6,7,1507
6,8,300
7,0,264
7,1,4821
7,2,8463
7,3,1324
7,4,563
7,5,284
7,6,335
7,7,79
7,8,2785
8,0,1441
8,1,2038
8,2,1426
8,3,421
8,4,627
8,5,180
8,6,808
8,7,152
8,8,639
8,9,1052
9,0,164
9,1,2104
9,2,1003
9,3,307
9,4,446
9,5,241
9,6,154
9,7,924
9,8,251
9,9,1499
9,10,1384
9,40,64
9,41,2596
10,0,1139
10,1,1442
10,2,931
10,3,339
10,4,360
10,5,950
10,6,338
10,7,551
10,8,317
10,9,903
10,10,3532
10,38,731
10,39,296
10,40,3155
10,41,2134
10,42,739
10,43,4512
10,44,19918
11,0,195
11,1,476
11,2,456
11,3,417
11,4,464
11,5,322
11,6,446
11,7,723
11,8,691
11,9,1536
11,10,464
11,37,3086
11,38,1672
11,39,199
11,40,483
11,41,130
11,42,162
11,43,355
11,44,2696
11,45,1348
12,0,1368
12,1,485
12,2,844
12,3,609
12,4,454
12,5,992
12,6,515
12,7,333
12,8,2139
12,9,1425
12,10,132
12,37,4214
12,38,3316
12,39,213
12,40,171
12,41,117
12,42,1429
12,43,208
12,44,3127
12,45,2452
13,0,1433
13,1,409
13,2,596
13,3,874
13,4,302
13,5,953
13,6,493
13,7,510
13,8,684
13,9,336
13,37,1588
13,38,390
13,39,92
13,40,129
13,41,3667
13,42,265
13,43,430
13,44,2227
13,45,4156
13,51,136
13,52,11355
13,53,12699
14,0,4195
14,1,1082
14,2,1010
14,3,765
14,4,395
14,5,521
14,6,1105
14,7,1349
14,8,1300
14,37,437
14,38,606
14,39,56
14,40,213
14,41,4655
14,42,508
14,43,196
14,44,2468
14,45,1642
14,51,14848
14,52,397
14,53,348
14,54,1752
15,0,2295
15,1,670
15,2,925
15,3,1105
15,4,1889
15,5,574
15,6,361
15,7,1351
15,8,560
15,39,1008
15,40,110
15,41,381
15,42,302
15,43,190
15,44,502
15,45,11810
15,49,3768
15,50,4615
15,51,1537
15,52,1041
15,53,2055
15,54,12284
15,55,40
16,0,481
16,1,743
16,2,519
16,3,669
16,4,635
16,5,459
16,6,373
16,7,1205
16,8,1813
16,39,400
16,40,705
16,41,239
16,42,1610
16,43,1807
16,44,1888
16,45,26264
16,48,4652
16,49,4172
16,50,2607
16,51,789
16,52,381
16,53,244
16,54,784
16,55,1152
17,0,1541
17,1,1759
17,2,1521
17,3,682
17,4,386
17,5,473
17,6,535
17,7,715
17,8,3084
17,9,1777
17,10,124
17,39,232
17,40,421
17,41,135
17,42,263
17,43,168
17,44,1651
17,45,744
17,47,14484
17,48,57011
17,49,3900
17,50,973
17,51,195
17,52,1452
17,53,599
17,54,3576
17,55,2034
18,0,1302
18,1,848
18,2,613
18,3,1018
18,4,465
18,5,620
18,6,337
18,7,472
18,8,873
18,9,671
18,10,796
18,39,441
18,40,2937
18,41,1620
18,42,140
18,43,342
18,44,1036
18,47,1112
18,48,11033
18,49,9482
18,50,13106
18,51,5367
18,52,1268
18,53,2855
18,54,333
18,55,562
18,56,20
19,0,1141
19,1,1360
19,2,343
19,3,512
19,4,333
19,5,377
19,6,495
19,7,856
19,8,2215
19,9,946
19,10,184
19,39,260
19,40,153
19,41,430
19,42,373
19,43,1660
19,47,304
19,48,532
19,49,4918
19,50,16077
19,51,7251
19,52,195
19,53,1677
19,54,609
19,55,5609
19,56,8
20,0,310
20,1,4550
20,2,5849
20,3,903
20,4,494
20,5,435
20,6,292
20,7,424
20,8,907
20,9,690
20,10,32
20,38,500
20,39,242
20,40,436
20,41,1997
20,42,103
20,43,4906
20,48,420
20,49,2587
20,50,1476
20,51,249
20,52,916
20,53,616
20,54,142
20,55,20
21,0,593
21,1,3291
21,2,1606
21,3,1049
21,4,378
21,5,816
21,6,374
21,7,785
21,8,572
21,37,144
21,38,140
21,39,47
21,40,198
21,41,203
21,42,108
21,43,20
21,47,1320
21,48,1292
21,49,215
21,50,3976
21,51,1601
21,52,424
21,53,1504
21,54,1845
21,55,4859
21,56,164
21,57,28
22,0,902
22,1,585
22,2,335
22,3,862
22,4,948
22,5,1610
22,6,4686
22,7,969
22,8,1024
22,37,196
22,38,683
22,39,86
22,40,329
22,41,68
22,42,32
22,45,108
22,46,6885
22,47,1508
22,48,1028
22,49,389
22,50,91
22,51,690
22,53,317
22,54,4243
22,55,2082
22,56,376
22,57,84
22,58,32
22,60,36
22,61,26
22,62,1512
23,0,1551
23,1,136
23,2,628
23,3,1136
23,4,1067
23,5,1111
23,6,4822
23,7,3080
23,8,448
23,34,92
23,35,8204
23,37,92
23,38,2050
23,39,2046
23,40,793
23,41,1024
23,42,8
23,45,352
23,46,503
23,47,255
23,48,2028
23,49,360
23,50,1873
23,51,150
23,52,35
23,53,312
23,54,195
23,55,3309
23,57,36
23,58,198
23,59,33
23,60,12394
23,61,348
23,62,2049
23,63,4
24,0,559
24,1,115
24,2,364
24,3,1720
24,4,293
24,5,1333
24,6,340
24,7,1499
24,8,892
24,34,205
24,35,3522
24,36,368
24,37,572
24,38,189
24,39,342
24,40,349
24,41,1580
24,44,12
24,45,116
24,46,204
24,47,2327
24,48,650
24,49,278
24,50,176
24,51,133
24,52,65
24,53,151
24,54,952
24,55,2266
24,60,1200
24,61,3762
24,62,3440
24,63,2402
25,0,348
25,1,543
25,2,1017
25,3,605
25,4,805
25,5,1573
25,6,496
25,7,972
25,8,28
25,34,69
25,35,2185
25,36,142
25,37,2047
25,38,1583
25,39,300
25,40,6016
25,41,9584
25,43,52
25,44,709
25,45,831
25,46,1440
25,47,228
25,48,4521
25,49,930
25,50,175
25,51,134
25,52,1399
25,53,2814
25,54,275
25,55,108
25,60,91
25,61,49
25,62,2512
25,63,8920
26,0,3852
26,1,434
26,2,621
26,3,691
26,4,1818
26,5,536
26,34,796
26,35,47
26,36,205
26,37,761
26,38,356
26,39,4970
26,40,9638
26,41,508
26,44,258
26,45,897
26,46,629
26,47,245
26,48,1250
26,49,2598
26,50,620
26,51,1595
26,52,2682
26,53,2388
26,54,141
26,55,206
26,61,752
26,62,502
26,63,8705
27,0,590
27,1,869
27,2,249
27,3,241
27,4,201
27,33,1064
27,34,1106
27,35,949
27,36,111
27,37,1853
27,38,827
27,39,149
27,40,3508
27,41,523
27,44,144
27,45,611
27,46,1280
27,47,777
27,48,135
27,49,71
